SECTION    ,SCHOOL    ,COURSE_CODE.    ,SESSION    ,MIN_UNITS    ,MAX_UNITS    ,COURSE_TITLE................................................................................................................................................................................................................................................................................................    ,MODE    ,Link    ,PUBLISH?    ,START_TIME    ,END_TIME    ,DAYS..    ,TOTAL_ENR    ,MODALITY    ,INSTRUCTOR_NAME.........................    ,ASSIGNED_ROOM    ,TOTAL_ENR    ,COURSE_DESCRIPTION..........................................................................................................................................................................................................................................................................................    ,DEPT.OWNER.NAME....................................................................................
,,,,,,,,,,,,,,,,,,,
10202,ACAD      ,ACAD-419        ,51,2.0,2.0,Professional Internship                                                                                                                                                                                                                                                                                         ,C       ,        ,Y           ,TBA           ,TBA         ,          ,1,            ,"Dent, Patrick, H                            ",ONLINE           ,1,"An experiential/academic opportunity in an arts, technology and business related facility. Written analysis, evaluation, and working internship.                                                                                                                                                                ",Jimmy Iovine and Andre Young Academy
10200,ACAD      ,ACAD-419        ,59,2.0,2.0,Professional Internship                                                                                                                                                                                                                                                                                         ,C       ,        ,Y           ,TBA           ,TBA         ,          ,1,            ,"Dent, Patrick, H                            ",ONLINE           ,1,"An experiential/academic opportunity in an arts, technology and business related facility. Written analysis, evaluation, and working internship.                                                                                                                                                                ",Jimmy Iovine and Andre Young Academy
10201,ACAD      ,ACAD-490        ,51,1.0,6.0,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,0,            ,"Siegel, Aaron                               ",ONLINE           ,0,Individual research and readings. Not available for graduate credit.                                                                                                                                                                                                                                            ,Jimmy Iovine and Andre Young Academy
10230,ACAD      ,ACAD-499        ,552,2.0,2.0,Special Topics                                                                                                                                                                                                                                                                                                  ,C       ,        ,N           ,TBA           ,TBA         ,          ,1,            ,"Thomas, Doug                                ",OFFICE           ,1,"Comprehensive exploration of particular aspects of art, technology and the business of innovation.                                                                                                                                                                                                              ",Jimmy Iovine and Andre Young Academy
10249,ACAD      ,ACAD-590        ,59,1.0,3.0,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,0,            ,"Crowley, Michael, Gregory                   ",OFFICE           ,0,Research leading to graduate degree. Maximum units which may be applied to degree determined by department.                                                                                                                                                                                                     ,Jimmy Iovine and Andre Young Academy
10248,ACAD      ,ACAD-590        ,59,1.0,3.0,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,0,            ,"Crowley, Michael, Gregory                   ",OFFICE           ,0,Research leading to graduate degree. Maximum units which may be applied to degree determined by department.                                                                                                                                                                                                     ,Jimmy Iovine and Andre Young Academy
34112,ACAD      ,IDSN-545        ,68,2.0,2.0,Integrative Project                                                                                                                                                                                                                                                                                             ,C       ,        ,Y           ,19:30         ,20:50       ,H         ,20,            ,"Clewis, Jay                                 ",ONLINE           ,20,"Faculty-mentored project. Demonstrate individual and simultaneous skills and competency across fields and within cross-functional, cross-disciplinary teams.                                                                                                                                                    ",Jimmy Iovine and Andre Young Academy
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Swain, Chris",,,,
34167,ACAD      ,IDSN-577        ,68,3.0,3.0,Finance for Entrepreneurs                                                                                                                                                                                                                                                                                       ,C       ,        ,Y           ,18:30         ,21:35       ,T         ,22,            ,"Alexander, Joshua                           ",ONLINE           ,22,The life cycle of a new venture from idea to construction of an                                                                                                                                                                                                                                                 ,Jimmy Iovine and Andre Young Academy
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,                                            ,                 ,             ,enterprise to a decision about financial viability. Recommended,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,                                            ,                 ,             ,preparation: IDSN 525 Business Essentials.,
