"SECTION","SCHOOL","COURSE_CODE","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","Link","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","DEPTOWNERNAME","DEPARTMENT","origin"
"10200","ACAD","ACAD-174","1","2","2","Innovators Forum","C ","","Y ","17:00","19:50","M ","42","","Thomas, Doug","IYH210/211 ","42","Leaders in diverse disciplines, industries and the arts present and discuss problems facing society and critique real-world projects that challenge the concept of innovation.","Jimmy Iovine and Andre Young Academy","ACAD","20223"
"10205","ACAD","ACAD-176","1","4","4","Rapid Visualization ","C ","","Y ","14:00","16:50","TH","20","","Siegel, Aaron ","IYH111 ","20","Techniques, methods, concepts, tools, and materials that are used to quickly visualize and communicate ideas and develop problem-solving skills.","Jimmy Iovine and Andre Young Academy","ACAD","20223"
"10201","ACAD","ACAD-176","1","4","4","Rapid Visualization ","C ","","Y ","14:00","16:50","TH","20","","Child, Stephen, C.","IYH213 ","20","Techniques, methods, concepts, tools, and materials that are used to quickly visualize and communicate ideas and develop problem-solving skills.","Jimmy Iovine and Andre Young Academy","ACAD","20223"
"10202","ACAD","ACAD-176","1","4","4","Rapid Visualization ","C ","","Y ","17:00","19:50","MW","21","","Bell, Joel","IYH213 ","21","Techniques, methods, concepts, tools, and materials that are used to quickly visualize and communicate ideas and develop problem-solving skills.","Jimmy Iovine and Andre Young Academy","ACAD","20223"
"10203","ACAD","ACAD-177","508","2","2","Digital Toolbox: Design ","C ","","Y ","9:00","11:50","TH","40","","Child, Stephen, C.","IYH210/211 ","40","Basics of industry-standard creative, analytical and presentation software. Applications include design, illustration, presentation and publishing. ","Jimmy Iovine and Andre Young Academy","ACAD","20223"
"10204","ACAD","ACAD-177","1","2","2","Digital Toolbox: Design ","C ","","Y ","17:00","19:50","W ","35","","Benson, Estevan ","IYH210 ","35","Basics of industry-standard creative, analytical and presentation software. Applications include design, illustration, presentation and publishing. ","Jimmy Iovine and Andre Young Academy","ACAD","20223"
"10209","ACAD","ACAD-181","1","4","4","Disruptive Innovation ","C ","","Y ","9:00","10:50","MW","42","","More, Phil","IYH210/211 ","42","Critical approaches to social and cultural changes stemming from disruptive innovations in the arts, science, technology, communications, new media, politics and business. Open only to Arts, Technology and the Business of Innovation students.","Jimmy Iovine and Andre Young Academy","ACAD","20223"
"10211","ACAD","ACAD-182","1","4","4","Case Studies in Innovation","C ","","Y ","18:00","19:50","MW","10","","Cleveland, Wade ","IYH212 ","10","Employing a case-study methodology, students analyze the artistic, technological, and entrepreneurial factors and address the conceptual, ethical, and logistical issues that lead to disruptive innovation.","Jimmy Iovine and Andre Young Academy","ACAD","20223"
"10213","ACAD","ACAD-187","648","2","2","Digital Toolbox: 3D Design","C ","","Y ","9:00","11:50","TH","48","","Siegel, Aaron ","IYH210/211 ","48","Basics of industry standard software for modeling and rendering 3D materials, objects and lighting. Includes instruction in pipelines for 3D assets.","Jimmy Iovine and Andre Young Academy","ACAD","20223"
"10215","ACAD","ACAD-188","508","2","2","Digital Toolbox: Modeling Products I","C ","","Y ","18:00","19:50","TH","24","","Hughes, Adam","IYH211 ","24","Tools and techniques specific to CAD design and design improvements, focused on the ideation and development new products.","Jimmy Iovine and Andre Young Academy","ACAD","20223"
"10217","ACAD","ACAD-189","648","2","2","Digital Toolbox: Modeling Products II ","C ","","Y ","18:00","19:50","TH","19","","Hughes, Adam","IYH211 ","19","An investigation of the tools and techniques specific to intermediate CAD design and design improvements, focused on the ideation and development new products. ","Jimmy Iovine and Andre Young Academy","ACAD","20223"
"10223","ACAD","ACAD-207","1","4","4","Designing Narrative Media ","C ","","Y ","14:00","16:50","MW","31","","Beier, David","IYH212/213 ","31","Students conceive and produce persuasive media-based narratives presenting new ideas, products and services. Students develop the requisite media production skills to drive impact through storytelling. ","Jimmy Iovine and Andre Young Academy","ACAD","20223"
"10227","ACAD","ACAD-240","1","4","4","Materials: Denim to Nanotubes ","C ","","Y ","10:00","11:50","TH","30","","Hughes, Adam","IYH212 ","30","Covers the fundamentals of materials science and introduce students to the principles of designing with specific materials in mind. ","Jimmy Iovine and Andre Young Academy","ACAD","20223"
"10229","ACAD","ACAD-245","1","4","4","Designing Products I","C ","","Y ","17:00","19:50","TH","21","","Jones, Trent","IYH110 ","21","An introductory course in learning how to design physical products, including the processes for determining consumer need, market opportunity and competitive product analysis. ","Jimmy Iovine and Andre Young Academy","ACAD","20223"
"10237","ACAD","ACAD-261","1","4","4","Human Health and Technology ","C ","","Y ","12:00","13:50","MW","2","","Lulejian, Armine","IYH212 ","2","Introduction to major concepts and theories on the biological, scientific and technological aspects of health care and disease prevention and management. mHealth, surveillance, electronic/personal health records, wearables, virtual/augmented realities, telehealth.","Jimmy Iovine and Andre Young Academy","ACAD","20223"
"10239","ACAD","ACAD-275","1","4","4","Dev I","C","","Y","17:00","19:50","TH","22","","Siegel, AaronDent, Patrick, H","IYH210","22","Web page design and creation, web objects, scripting and interactivity. Includes developing skills to design and build interactive websites.","Jimmy Iovine and Andre Young Academy","ACAD","20223"
"10241","ACAD","ACAD-276","1","4","4","Dev II","C ","","Y ","14:00","16:50","TH","32","","Dent, Patrick, H","IYH210 ","32","Fundamentals of server-side scripting and web templates. Design and creation of data structures and databases. Visualize analytics and data.","Jimmy Iovine and Andre Young Academy","ACAD","20223"
"10251","ACAD","ACAD-302","1","4","4","The Hacker Imagination: from Ancient Greece to Cupertino","C","","Y","11:00","12:50","MW","33","","Thomas, Doug","IYH210","33","Exploring issues in innovation, design and invention from the perspective of the hacker imagination.","Jimmy Iovine and Andre Young Academy","ACAD","20223"
"10254","ACAD","ACAD-317","1","4","4","Designing Media Studio","C ","","Y ","18:00","19:50","TH","7","","Becker, Carsten ","IYH111 ","7","Students design and develop advanced narrative, immersive and interactive multimedia experiences for existing and experimental platforms. Studio-based structure allows for individual projects and pacing. ","Jimmy Iovine and Andre Young Academy","ACAD","20223"
"10257","ACAD","ACAD-324","1","4","4","The Practice of Design: Ideation to Innovation","C ","","Y ","17:00","19:50","TH","28","","Krohn, Lisa ","IYH213 ","28","History and application of proven collaborative design processes and methodologies as they relate to ideation and innovation. ","Jimmy Iovine and Andre Young Academy","ACAD","20223"
