before,after
(advertising|data|digital|platforms|youth) ecosystem,$1 domain
allergies in nutrition food toxins,allergies in nutrition food domain
application security,application domain
art preservation,art domain
arterial partial pressure of carbon dioxide,arterial partial pressure of domain
based on ecosystems perspectives,based on domain perspectives
bias measurement error,domain measurement error
(biological|conservation|physical|thermodynamic) law,$1 domain
black hole,domain hole
brain architecture,brain domain
business ecosystem|sustainability,business domain
classroom ecology,classroom domain
climate and classroom,domain and classroom
co2 laser,domain laser
competitive advantage analyses of environment,competitive advantage analyses of domain
court positioning,domain positioning
"creating characters (\w[ \w]*){1,3} environment",creating characters $1 domain
decision forest|tree,decision domain
degrees of freedom,degrees of domain
ecological momentary assessment,domain momentary assessment
emission tomography,domain tomography
entertainment industry,entertainment domain
"entertainment within (\w[ \w]*){1,3} ecology",entertainment within $1 domain
green screen footage,domain screen footage
"image filtering (\w[ \w]*){1,3} restoration",image filtering $1 repair
inclusion exclusion symmetric,domain exclusion symmetric
(cultural|external|intellectual|internal) landscape,$1 domain
"international trade (\w[ \w]*){1,3} environment",international trade $1 domain
laws? of (nature|thermodynamic),domain of $1
natural history museum,natural history domain
(nitrogen|nutrient|phosphorous) recycling,$1 cycling
open to all students faculty and staff of any gender,open to all students faculty and staff of any domain
oral microbial ecology,oral microbial domain
phylogenetic tree,phylogenetic domain
pointe technique for women,pointe technique for domain
prison pipeline,prison domain
random forest,random domain
reactive species,reactive domain
recycled nutrients,cycled nutrients
recycling of (carbon|damaged|inorganic carbon|nutrients|nitrogen|phosphorous),cycling of $1
school climate( crisis)?,school domain
sponsored by the school,sponsored by the domain
strawberry tongue,domain tongue
studio technology,studio domain
sustainable (competitive|value),domain $1
total organism,total domain
trans ?disciplinary,domain disciplinary
wealth preservation,wealth domain
zebra fish,domain domain
phosphate buffered,domain buffered
