"courseID","course_title","semester","section","course_desc","department","N.Sections","year"
"ACCT-525","Intensive Accounting Principles and Practices","SU18",14191,"Intensive Accounting Principles and Practices - Technical accounting theory and principles necessary for graduate;work. Satisfies the prerequisite requirements for intermediate;and advanced accounting, auditing, and tax. Credit toward degree;limited to M.Acc. and M.B.T. students. Recommended Preparation:;Introductory accounting courses.;;;","ACCT",1,"AY19"
"ACCT-561T","Income Tax of Corporations and Their Shareholders","SU18",14218,"Income Tax of Corporations and Their Shareholders - Concepts and principles governing the taxation of corporations and their shareholders; the effect of taxes on corporate formation, capital structure, distributions, and liquidations. Recommended preparation: ACCT-550T or ACCT-560T or LAW-600.","ACCT",2,"AY19"
"ACCT-571T","Taxation of Individuals","SU18",14253,"Taxation of Individuals - Application of tax law in areas of compensation planning, investment planning, tax shelters, and current developments relating to the individual taxpayer. Prerequisite: ACCT 550T.","ACCT",2,"AY19"
"ACCT-573T","Federal Tax Procedure","SU18",14225,"Federal Tax Procedure - Tax reporting and collection procedures; administrative and;judicial procedures governing tax controversies; the rights and;obligations of the taxpayer.;","ACCT",2,"AY19"
"ACCT-578T","Advanced Corporate Taxation","SU18",14245,"Advanced Corporate Taxation - Analysis of corporate divisions and reorganizations, carryovers,;and other advanced topics in corporate taxation.","ACCT",2,"AY19"
"ACMD-514","Accreditation and Program Evaluation in Academic Medicine","SU18",40254,"Accreditation and Program Evaluation in Academic Medicine - Evaluating health professions training programs within guidelines of relevant accreditation organizations; models of evaluation, designing plans and tools for evaluation of program elements.","ACMD",1,"AY19"
"ACMD-604","Supporting the Educational Enterprise in Academic Medicine","SU18",40269,"Supporting the Educational Enterprise in Academic Medicine - Explores support functions in academic medical centers and health professions schools; financial, scientific, educational, faculty and student affairs departments, and offices of medical education.","ACMD",1,"AY19"
"ACMD-605","Faculty Development for Health Sciences Faculty Educators","SU18",40275,"Faculty Development for Health Sciences Faculty Educators - Role of faculty development programs in health professions schools; tools for delivering effective continuing education and faculty development; models for mentoring clinical faculty.","ACMD",1,"AY19"
"ADNT-703A","Seminar: Combined Treatment Planning","SU18",22605,"Seminar: Combined Treatment Planning - Interdisciplinary consideration of complex cases which involve several of the dental specialties.","ADNT",2,"AY19"
"ADNT-703B","Seminar: Combined Treatment Planning","SU18",22608,"Seminar: Combined Treatment Planning - Interdisciplinary consideration of complex cases which involve several of the dental specialties.","ADNT",1,"AY19"
"ADNT-703E","Seminar: Combined Treatment Planning","SU18",22607,"Seminar: Combined Treatment Planning - Interdisciplinary consideration of complex cases which involve several of the dental specialties.","ADNT",1,"AY19"
"ADNT-710","Internship: Dental Education","SU18",22600,"Internship: Dental Education - Practical experience teaching predoctoral students. Units and hours variable.","ADNT",11,"AY19"
"ALI-245","High Intermediate Writing Skills","SU18",10132,"High Intermediate Writing Skills - Required for international students whose writing skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI course. (Duplicates credit in former ALI 231 and ALI 240.) Graded CR/NC.","ALI",1,"AY19"
"ALI-252","Advanced Pronunciation","SU18",10135,"Advanced Pronunciation - Required for international students whose pronunciation skills are assessed at the advanced level by the International Student English Examination (ISE) or previous ALI course.","ALI",3,"AY19"
"ALI-275","Writing for Publication and Dissertations","SU18",10170,"Writing for Publication and Dissertations - Elective course for international graduate students focusing on conventions of advanced academic writing and problems in syntax, vocabulary, and register for writing and/or publishing dissertations. Graded CR/NC.","ALI",4,"AY19"
"ALI-276","Workshop for International Teaching Assistants","SU18",10174,"Workshop for International Teaching Assistants - Language assistance and individualized instruction to help International Teaching Assistants develop the skills and language proficiency necessary to perform their classroom duties. Graded CR/NC.","ALI",2,"AY19"
"AME-310","Engineering Thermodynamics I","SU18",28750,"Engineering Thermodynamics I - Fundamental laws of thermodynamics applied to actual and perfect gases and vapors; energy concepts, processes, and applications.","AME",2,"AY19"
"AME-341A","Mechoptronics Laboratory I and II","SU18",28800,"Mechoptronics Laboratory I and II - A coordinated laboratory and lecture sequence on aeromechanical instrumentation and device control stressing the symbiotic integration of mechanical, optical and electronic components.","AME",4,"AY19"
"AME-525","Engineering Analysis","SU18",28885,"Engineering Analysis - Typical engineering problems discussed on a physical basis.;Vector analysis; functions of complex variables, infinite series,;residues.","AME",2,"AY19"
"AME-526","Engineering Analytical Methods","SU18",28886,"Engineering Analytical Methods - Typical engineering problems discussed on a physical basis. Fourier series; Fourier integrals; Laplace transform; partial differential equations; Bessel function.","AME",2,"AY19"
"AMED-502","Emergency Medicine","SU18",22655,"Emergency Medicine - Recognition and management of life-threatening emergencies, including unconsciousness, altered consciousness, respiratory distress, convulsions, drug-related emergencies, and chest pain.;","AMED",1,"AY19"
"AMED-750A","Physical Evaluation and Anesthesia","SU18",22650,"Physical Evaluation and Anesthesia - In-depth examination of physical evaluation, emergency medicine, basic life support, inhalation sedation, intravenous sedation, local anesthesia, and patient monotoring; includes clinical experience.","AMED",8,"AY19"
"AMED-750B","Physical Evaluation and Anesthesia","SU18",22651,"Physical Evaluation and Anesthesia - In-depth examination of physical evaluation, emergency medicine, basic life support, inhalation sedation, intravenous sedation, local anesthesia, and patient monotoring; includes clinical experience.","AMED",8,"AY19"
"AMED-750C","Physical Evaluation and Anesthesia","SU18",22652,"Physical Evaluation and Anesthesia - In-depth examination of physical evaluation, emergency medicine, basic life support, inhalation sedation, intravenous sedation, local anesthesia, and patient monotoring; includes clinical experience.","AMED",7,"AY19"
"AMST-135","Peoples and Cultures of the Americas","SU18",10320,"Peoples and Cultures of the Americas - An introduction to cultures and people in the Americas; the social, historical, economic and cultural formations that together make up the Latino/a American imaginary.","AMST",1,"AY19"
"ANST-503","Advanced Pharmacology of Anesthesia Practice II","SU18",40303,"Advanced Pharmacology of Anesthesia Practice II - Pharmacokinetic/pharmacodynamic principles of drugs covering different organs systems (Cardiovascular, CNS, hematology, endocrine), herbal therapies, chemotherapeutics, antimicrobials. Application of pharmacology to anesthetic management using problem-based learning. Prerequisites: ANST 501 and ANST 502.","ANST",1,"AY19"
"ANST-504","Advanced Physiology/Pathophysiology for Anesthetists","SU18",40304,"Advanced Physiology/Pathophysiology for Anesthetists - In-depth advanced study of cardiovascular, respiratory, renal, liver, endocrine and neurophysiology and pathophysiology with application of these principles to anesthetic case management across the lifespan. Prerequisite: ANST 501, ANST 502.","ANST",1,"AY19"
"ANST-513","Advanced Clinical Residency in Nurse Anesthesia III","SU18",40313,"Advanced Clinical Residency in Nurse Anesthesia III - Correlation of advanced techniques of anesthesia administration with application of scientific and pharmacologic theory in diverse specialty anesthesia rotations. Prerequisite: ANST 505, ANST 507, ANST 509, ANST 511. Open only to Nurse Anesthesiology majors.","ANST",1,"AY19"
"ANST-600","Gateway Tools","SU18",40349,"Gateway Tools - Emphasize strategies that build critical skills for the transition from clinician to doctoral level scholarship and clinical practice. Discussions used to develop self awareness, self regulation, internal motivation, empathy, social skills and role transition. Acceptance into the USC Program of Nurse Anesthesia.","ANST",1,"AY19"
"ANST-602","Analytical Methods for Evidence-Based Practice","SU18",40348,"Analytical Methods for Evidence-Based Practice - Evaluation of the appropriateness of statistical methods applied to answer research questions and impact of statistical choice on applying evidence-based medicine to nurse anesthesia practice.","ANST",1,"AY19"
"ANST-614","Clinical Residency in Nurse Anesthesia I","SU18",40329,"Clinical Residency in Nurse Anesthesia I - Correlation of techniques of anesthesia administration with application of scientific and pharmacologic theory in the clinical setting with observation and supervised clinical residency.","ANST",1,"AY19"
"ANST-691","Doctoral Capstone Proposal","SU18",40346,"Doctoral Capstone Proposal - Preparation of capstone project proposal. Examination/analysis of research and literature in the student's area of focus culminating in the written capstone proposal and presentation.","ANST",1,"AY19"
"ANST-694A","Doctoral Capstone Project","SU18",40340,"Doctoral Capstone Project - Mentored research on an individualized topic of interest leading to the professional doctorate. The project will culminate in a formal written research paper or presentation.","ANST",1,"AY19"
"ANTH-263","Exploring Culture Through Film","SU18",10608,"Exploring Culture Through Film - Concepts of social anthropology using filmic representations ofsocieties throughout the world in contrast to written ethnography.","ANTH",3,"AY19"
"ANTH-371","Cross-Cultural Research on Urban Gangs","SU18",10617,"Cross-Cultural Research on Urban Gangs - Youth gang dynamics and their effects on institutions. Comparative analysis of Asian, African, and Mexican American gangs.","ANTH",3,"AY19"
"ANTH-409","Indigenous Languages in the Contemporary World","SU18",10618,"Indigenous Languages in the Contemporary World - Examination of indigenous languages in Northern Ireland, with a focus on the sociopolitical dimension of revitalization movement.","ANTH",1,"AY19"
"ARCH-524","Professional Practicum","SU18",11258,"Professional Practicum - Comparative studies of professional practice between U.S. firms and firms in other countries. Open to international upper-division undergraduate and graduate architecture students only. Graded CR/NC.","ARCH",3,"AY19"
"ARCH-549","Fundamentals of Heritage Conservation","SU18",11266,"Fundamentals of Heritage Conservation - Concepts and strategies for conservation of significant elements of the built environment: buildings, sites and communities as revealed by readings, site visits, and case studies.","ARCH",1,"AY19"
"ARCH-580","Field Studies","SU18",11207,"Field Studies - Off-campus field studies using direct observation, site recordings/documentation, analysis and evaluation supplemented by discussions and readings.","ARCH",2,"AY19"
