"courseID","all_goals","sustainability_classification"
"ACAD-419","8,9","SDG-Related"
"ACAD-499","8,9","SDG-Related"
"ACCT-525","1,9","SDG-Related"
"ACCT-561T","8,16","SDG-Related"
"ACCT-568T","10","SDG-Related"
"ADNT-702","3","SDG-Related"
"ADNT-703A","3","SDG-Related"
"ADNT-703B","3","SDG-Related"
"ADNT-703C","3","SDG-Related"
"ADNT-703E","3","SDG-Related"
"ADNT-703F","3","SDG-Related"
"ADNT-703I","3","SDG-Related"
"ADNT-703J","3","SDG-Related"
"ADNT-710","3,4","SDG-Related"
"AME-341A","9","SDG-Related"
"AME-525","9","SDG-Related"
"AME-526","9","SDG-Related"
"AME-790","","Not Related"
"AMED-502","3","SDG-Related"
"AMED-750A","3","SDG-Related"
"AMED-750B","3","SDG-Related"
"AMED-750C","3","SDG-Related"
"ANAT-701","3,9","SDG-Related"
"ARCH-102A","11","SDG-Related"
"ARCH-102B","11","SDG-Related"
"ARCH-105","9","SDG-Related"
"ARCH-202B","11","SDG-Related"
"ARCH-302B","11","SDG-Related"
"ARCH-402A","11","SDG-Related"
"ARCH-402B","11","SDG-Related"
"ARCH-524","8,11","SDG-Related"
"ARCH-549","11","SDG-Related"
"ARCH-580","","Not Related"
"ARCH-606","9,11,15","Sustainability-Focused"
"ARCH-607","9","SDG-Related"
"ARCH-608","11","SDG-Related"
"ARCH-609","9","SDG-Related"
"ARCH-702","7,9,11","SDG-Related"
"ARCH-705","7,9,11","SDG-Related"
"ASTE-580","","Not Related"
"ASTE-585","9","SDG-Related"
"ASTE-790","","Not Related"
"BITE-586","3,9","SDG-Related"
"BKN-559","","Not Related"
"BKN-599","3","SDG-Related"
"BKN-630","8,9","SDG-Related"
"BKN-790","","Not Related"
"BMDD-588A","3,9","SDG-Related"
"BMDD-594B","","Not Related"
"BME-790","","Not Related"
"BUAD-280","8,10","SDG-Related"
"BUAD-281","","Not Related"
"BUAD-302","8,9","SDG-Related"
"BUAD-304","8","SDG-Related"
"BUAD-306","1,8,10","SDG-Related"
"BUAD-307","8,12,16","SDG-Related"
"BUAD-310","8","SDG-Related"
"BUAD-311","8","SDG-Related"
"BUAD-425","8,9,15","Sustainability-Focused"
"BUAD-495","4,8,10","SDG-Related"
"BUAD-497","16","SDG-Related"
"BUCO-637","4,8,9","SDG-Related"
"CBY-578","1,3,9","SDG-Related"
"CBY-585","9","SDG-Related"
"CBY-671","2,9","SDG-Related"
"CBY-673","6","SDG-Related"
"CBY-790","","Not Related"
