"course_title","all_goals","sustainability_classification"
"Innovators Forum","8,9,12,17","Inclusive"
"Rapid Visualization","9,12","Inclusive"
"Digital Toolbox for Design","8,9,12,17","Inclusive"
"Digital Toolbox: Motion Graphics","8,9,12,17","Inclusive"
"Digital Toolbox: Sound and Audio","9","Inclusive"
"Disruptive Innovation","1,4,8,9,10,11,12,16,17","Inclusive"
"Case Studies in Innovation","8,9,12,17","Inclusive"
"Digital Toolbox: 3D Design","2,6,7,8,9,12,13,14,15,17","Focused"
"Digital Toolbox: Modeling Products I","8,9,17","Inclusive"
"Digital Toolbox: Modeling Products II","8,9,17","Inclusive"
"Multimedia for Designers and Entrepreneurs I","8,9","Inclusive"
"Materials: Denim to Nanotubes","4,9,12","Inclusive"
"Product Design I","9","Inclusive"
"Dev I","9","Inclusive"
"Dev II","9","Inclusive"
"Dev III: Advanced Topics","9","Inclusive"
"Designing for Experiences","9","Inclusive"
"Dreams and Madness: The Art of Japan's Golden Age of Animation","10,11,16","Inclusive"
"The Practice of Design: Ideation to Innovation","8,9,11,12,17","Inclusive"
"Product Design II","9","Inclusive"
"Design Consulting: Problem Solving for Organizations","9","Inclusive"
"Discerning and Making I: Concept and Feasibility","8,9,12,17","Inclusive"
"Discerning and Making II: Creation and Implementation","8,9,12,17","Inclusive"
"The Garage Experience","9,12,17","Inclusive"
"Directed Research","9,17,4,2","Inclusive"
"External Financial Reporting Issues","8,10,17","Inclusive"
"Introduction to Accounting Systems","8,9,10","Inclusive"
"Internal Reporting Issues","17","Inclusive"
"Introduction to Auditing and Assurance Services","9","Inclusive"
"Introduction to Tax Issues","1,9","Inclusive"
"Valuation for Financial Statement Purposes","8,10,11","Inclusive"
"Introduction to Enterprise Risk Management","","Not Related"
"Introduction to Risk Management and Insurance","1,8,9","Inclusive"
"Foundations of Accounting","8,9,10","Inclusive"
"Intermediate Financial Accounting for Non-Accounting Majors","1,8,10,17","Inclusive"
"Financial Reporting and Analysis","8,10","Inclusive"
"Accounting Ethics","12","Inclusive"
"Detecting Fraudulent Financial Reporting","8,10,12","Inclusive"
"Advanced External Financial Reporting Issues","8,9,10","Inclusive"
"Financial Statement Auditing","8,10","Inclusive"
"Tax Issues for Business","1,8,9,13","Focused"
"Leventhal Honors Research Seminar","9,17","Inclusive"
"Marshall Honors Research and Thesis","17","Inclusive"
"Concepts of Financial and Management Accounting","8,9,10","Inclusive"
"Intensive Accounting Principles and Practices","1,8,9,10","Inclusive"
"Global Accounting Experience","1,8,9,10,11,13,16","Focused"
"Financial Statement Analysis - Audit Perspective","8,9,10","Inclusive"
"Fair Value Accounting: GAAP, IFRS and Emerging Issues","8,10,17","Inclusive"
