"course_title","semester","course","course_num","course_desc","department","N.Sections"
"ACAD-174","F18","Innovators Forum",10200,"Innovators Forum - Leaders in diverse disciplines, industries, and the arts present and discuss problems facing society, and critique real-world projects that challenge the concept of innovation.","ACAD",1
"ACAD-174","SP19","Innovators Forum",10200,"Innovators Forum - Leaders in diverse disciplines, industries, and the arts present and discuss problems facing society, and critique real-world projects that challenge the concept of innovation.","ACAD",1
"ACAD-176","F18","Rapid Visualization",10202,"Rapid Visualization - Basic techniques, methods, concepts, tools, and materials that are used to quickly communicate ideas and concepts in a visual manner. Recommended preparation: Photoshop; iPad and/or laptop skills; iPad drawing apps such as Sketchbook or iDraw.","ACAD",1
"ACAD-176","SP19","Rapid Visualization",10202,"Rapid Visualization - Basic techniques, methods, concepts, tools, and materials that are used to quickly communicate ideas and concepts in a visual manner. Recommended preparation: Photoshop; iPad and/or laptop skills; iPad drawing apps such as Sketchbook or iDraw.","ACAD",1
"ACAD-177","F18","Digital Toolbox for Design",10203,"Digital Toolbox for Design - Eight-week session covering the basics of industry-standard creative, analytical and presentation software. Applications include: design. presentation, publishing and business management. Open only to Arts, Technology and the Business of Innovation students.","ACAD",1
"ACAD-178","SP19","Digital Toolbox: Motion Graphics",10204,"Digital Toolbox: Motion Graphics - Eight-week course covering the basics of industry-standard digital video and motion graphics software used for visual effects, non-linear video production and editing. Open only to Arts, Technology and the Business of Innovation students.","ACAD",1
"ACAD-180","F18","Digital Toolbox: Sound and Audio",10206,"Digital Toolbox: Sound and Audio - An eight-week course covering the basics of industry-standard hardware and software used for designing, creating, processing, and distributing sound and audio.","ACAD",1
"ACAD-181","F18","Disruptive Innovation",10207,"Disruptive Innovation - Critical approaches to social and cultural changes stemming from disruptive innovations in the arts, science, technology, communications, new media, politics and business. Open only to Arts, Technology and the Business of Innovation students.","ACAD",1
"ACAD-182","SP19","Case Studies in Innovation",10208,"Case Studies in Innovation - Employing a case-study methodology, students analyze the artistic, technological, and entrepreneurial factors and address the conceptual, ethical, and logistical issues that lead to disruptive innovation. Prerequisite: ACAD 181. Open only to Arts, Technology and the Business of Innovation students.","ACAD",1
"ACAD-187","SP19","Digital Toolbox: 3D Design",10223,"Digital Toolbox: 3D Design - An eight-week course covering the basics of industry-standard 3D modeling, rendering, and capturing software used for product, packaging, industrial and environmental design. Open only to Arts, Technology and the Business of Innovation majors.","ACAD",1
