"course_title","semester","courseID","section","course_desc","department","N.Sections","year","clean_course_desc"
"Innovators Forum","F18","ACAD-174",10200,"Innovators Forum - Leaders in diverse disciplines, industries, and the arts present and discuss problems facing society, and critique real-world projects that challenge the concept of innovation.","ACAD",1,"AY19","Innovators Forum Leaders in diverse disciplines industries and the arts present and discuss problems facing society and critique real world projects that challenge the concept of innovation"
"Innovators Forum","SP19","ACAD-174",10200,"Innovators Forum - Leaders in diverse disciplines, industries, and the arts present and discuss problems facing society, and critique real-world projects that challenge the concept of innovation.","ACAD",1,"AY19","Innovators Forum Leaders in diverse disciplines industries and the arts present and discuss problems facing society and critique real world projects that challenge the concept of innovation"
"Rapid Visualization","F18","ACAD-176",10202,"Rapid Visualization - Basic techniques, methods, concepts, tools, and materials that are used to quickly communicate ideas and concepts in a visual manner. Recommended preparation: Photoshop; iPad and/or laptop skills; iPad drawing apps such as Sketchbook or iDraw.","ACAD",1,"AY19","Rapid Visualization Basic techniques methods concepts tools and materials that are used to quickly communicate ideas and concepts in a visual manner Recommended preparation Photoshop iPad and or laptop skills iPad drawing apps such as Sketchbook or iDraw"
"Rapid Visualization","SP19","ACAD-176",10202,"Rapid Visualization - Basic techniques, methods, concepts, tools, and materials that are used to quickly communicate ideas and concepts in a visual manner. Recommended preparation: Photoshop; iPad and/or laptop skills; iPad drawing apps such as Sketchbook or iDraw.","ACAD",1,"AY19","Rapid Visualization Basic techniques methods concepts tools and materials that are used to quickly communicate ideas and concepts in a visual manner Recommended preparation Photoshop iPad and or laptop skills iPad drawing apps such as Sketchbook or iDraw"
"Digital Toolbox for Design","F18","ACAD-177",10203,"Digital Toolbox for Design - Eight-week session covering the basics of industry-standard creative, analytical and presentation software. Applications include: design. presentation, publishing and business management. Open only to Arts, Technology and the Business of Innovation students.","ACAD",1,"AY19","Digital Toolbox for Design Eight week session covering the basics of industry standard creative analytical and presentation software Applications include design presentation publishing and business management Open only to Arts Technology and the Business of Innovation students"
"Digital Toolbox: Motion Graphics","SP19","ACAD-178",10204,"Digital Toolbox: Motion Graphics - Eight-week course covering the basics of industry-standard digital video and motion graphics software used for visual effects, non-linear video production and editing. Open only to Arts, Technology and the Business of Innovation students.","ACAD",1,"AY19","Digital Toolbox Motion Graphics Eight week course covering the basics of industry standard digital video and motion graphics software used for visual effects non linear video production and editing Open only to Arts Technology and the Business of Innovation students"
"Digital Toolbox: Sound and Audio","F18","ACAD-180",10206,"Digital Toolbox: Sound and Audio - An eight-week course covering the basics of industry-standard hardware and software used for designing, creating, processing, and distributing sound and audio.","ACAD",1,"AY19","Digital Toolbox Sound and Audio An eight week course covering the basics of industry standard hardware and software used for designing creating processing and distributing sound and audio"
"Disruptive Innovation","F18","ACAD-181",10207,"Disruptive Innovation - Critical approaches to social and cultural changes stemming from disruptive innovations in the arts, science, technology, communications, new media, politics and business. Open only to Arts, Technology and the Business of Innovation students.","ACAD",1,"AY19","Disruptive Innovation Critical approaches to social and cultural changes stemming from disruptive innovations in the arts science technology communications new media politics and business Open only to Arts Technology and the Business of Innovation students"
"Case Studies in Innovation","SP19","ACAD-182",10208,"Case Studies in Innovation - Employing a case-study methodology, students analyze the artistic, technological, and entrepreneurial factors and address the conceptual, ethical, and logistical issues that lead to disruptive innovation. Prerequisite: ACAD 181. Open only to Arts, Technology and the Business of Innovation students.","ACAD",1,"AY19","Case Studies in Innovation Employing a case study methodology students analyze the artistic technological and entrepreneurial factors and address the conceptual ethical and logistical issues that lead to disruptive innovation Prerequisite ACAD 181 Open only to Arts Technology and the Business of Innovation students"
"Digital Toolbox: 3D Design","SP19","ACAD-187",10223,"Digital Toolbox: 3D Design - An eight-week course covering the basics of industry-standard 3D modeling, rendering, and capturing software used for product, packaging, industrial and environmental design. Open only to Arts, Technology and the Business of Innovation majors.","ACAD",1,"AY19","Digital Toolbox 3D Design An eight week course covering the basics of industry standard 3D modeling rendering and capturing software used for product packaging industrial and environmental design Open only to Arts Technology and the Business of Innovation majors"
"Digital Toolbox: Modeling Products I","SP19","ACAD-188",10234,"Digital Toolbox: Modeling Products I - Tools and techniques specific to CAD design and design improvements, focused on the ideation and development new products.","ACAD",2,"AY19","Digital Toolbox Modeling Products I Tools and techniques specific to CAD design and design improvements focused on the ideation and development new products"
"Digital Toolbox: Modeling Products II","SP19","ACAD-189",10235,"Digital Toolbox: Modeling Products II - An investigation of the tools and techniques specific to intermediate CAD design and design improvements, focused on the ideation and development new products.","ACAD",2,"AY19","Digital Toolbox Modeling Products II An investigation of the tools and techniques specific to intermediate CAD design and design improvements focused on the ideation and development new products"
"Multimedia for Designers and Entrepreneurs I","F18","ACAD-207",10234,"Multimedia for Designers and Entrepreneurs I - Basics of industry-standard hardware and software specific to creating effective and compelling multimedia experiences.","ACAD",1,"AY19","Multimedia for Designers and Entrepreneurs I Basics of industry standard hardware and software specific to creating effective and compelling multimedia experiences"
"Multimedia for Designers and Entrepreneurs I","SP19","ACAD-207",10240,"Multimedia for Designers and Entrepreneurs I - Basics of industry-standard hardware and software specific to creating effective and compelling multimedia experiences.","ACAD",1,"AY19","Multimedia for Designers and Entrepreneurs I Basics of industry standard hardware and software specific to creating effective and compelling multimedia experiences"
"Materials: Denim to Nanotubes","F18","ACAD-240",10235,"Materials: Denim to Nanotubes - Covers the fundamentals of materials science and introduce students to the principles of designing with specific materials in mind.","ACAD",1,"AY19","Materials Denim to Nanotubes Covers the fundamentals of materials science and introduce students to the principles of designing with specific materials in mind"
"Product Design I","F18","ACAD-245",10232,"Product Design I - A wide investigation of techniques specific to dimensional design as they apply to package, product and spatial design, in analog and digital environments.","ACAD",1,"AY19","Product Design I A wide investigation of techniques specific to dimensional design as they apply to package product and spatial design in analog and digital domain"
"Product Design I","SP19","ACAD-245",10232,"Product Design I - A wide investigation of techniques specific to dimensional design as they apply to package, product and spatial design, in analog and digital environments.","ACAD",2,"AY19","Product Design I A wide investigation of techniques specific to dimensional design as they apply to package product and spatial design in analog and digital domain"
"Dev I","SP19","ACAD-275",10209,"Dev I - Web page design and creation, web objects, scripting and interactivity. Includes developing skills to design and build interactive websites.","ACAD",1,"AY19","Dev I Web page design and creation web objects scripting and interactivity Includes developing skills to design and build interactive websites"
"Dev II","F18","ACAD-276",10210,"Dev II - Fundamentals of server-side scripting and web templates. Design and creation of data structures and databases. Visualize analytics and data.","ACAD",1,"AY19","Dev II Fundamentals of server side scripting and web templates Design and creation of data structures and databases Visualize analytics and data"
"Dev III: Advanced Topics","SP19","ACAD-277",10229,"Dev III: Advanced Topics - An accelerated approach to object-oriented programming, including foundations of applications for devices, with a focus on user interface design.","ACAD",1,"AY19","Dev III Advanced Topics An accelerated approach to object oriented programming including foundations of applications for devices with a focus on user interface design"
"Designing for Experiences","SP19","ACAD-280",10231,"Designing for Experiences - Designing effective and elegant interfaces and experiences for the ways people interact with data, devices, systems, and environments.","ACAD",1,"AY19","Designing for Experiences Designing effective and elegant interfaces and experiences for the ways people interact with data devices systems and domain"
