"X","goal","keyword","pattern","weight","color"
1,1,"poverty","\b(\d*)poverty(\d*)\b",14.73,"#E5243B"
2,1,"pension","\b(\d*)pension(\d*)\b",4.47,"#E5243B"
3,1,"unemployment","\b(\d*)unemployment(\d*)\b",3.98,"#E5243B"
4,1,"welfare","\b(\d*)welfare(\d*)\b",3.23,"#E5243B"
5,1,"employment","\b(\d*)employment(\d*)\b",2.35,"#E5243B"
6,1,"insurance","\b(\d*)insurance(\d*)\b",2.28,"#E5243B"
7,1,"inequality","\b(\d*)inequality(\d*)\b",2.15,"#E5243B"
8,1,"social security","\b(\d*)social security(\d*)\b",1.84,"#E5243B"
9,1,"uninsured","\b(\d*)uninsured(\d*)\b",1.63,"#E5243B"
10,1,"pensions","\b(\d*)pensions(\d*)\b",1.27,"#E5243B"
11,1,"unemployed","\b(\d*)unemployed(\d*)\b",1.24,"#E5243B"
12,1,"economic","\b(\d*)economic(\d*)\b",0.94,"#E5243B"
13,1,"social","\b(\d*)social(\d*)\b",0.9,"#E5243B"
14,1,"homelessness","\b(\d*)homelessness(\d*)\b",0.87,"#E5243B"
15,1,"retirement","\b(\d*)retirement(\d*)\b",0.85,"#E5243B"
16,1,"incomes","\b(\d*)incomes(\d*)\b",0.85,"#E5243B"
17,1,"inequalities","\b(\d*)inequalities(\d*)\b",0.82,"#E5243B"
18,1,"homeless","\b(\d*)homeless(\d*)\b",0.82,"#E5243B"
19,1,"social welfare","\b(\d*)social welfare(\d*)\b",0.8,"#E5243B"
20,1,"poor","\b(\d*)poor(\d*)\b",0.78,"#E5243B"
21,1,"jobless","\b(\d*)jobless(\d*)\b",0.76,"#E5243B"
22,1,"disability","\b(\d*)disability(\d*)\b",0.73,"#E5243B"
23,1,"annuity","\b(\d*)annuity(\d*)\b",0.67,"#E5243B"
24,1,"retirees","\b(\d*)retirees(\d*)\b",0.67,"#E5243B"
25,1,"racism","\b(\d*)racism(\d*)\b",0.62,"#E5243B"
26,1,"pensioners","\b(\d*)pensioners(\d*)\b",0.62,"#E5243B"
27,1,"insurers","\b(\d*)insurers(\d*)\b",0.62,"#E5243B"
28,1,"wages","\b(\d*)wages(\d*)\b",0.62,"#E5243B"
29,1,"elderly","\b(\d*)elderly(\d*)\b",0.62,"#E5243B"
30,1,"socio economic","\b(\d*)socio economic(\d*)\b",0.58,"#E5243B"
31,1,"premiums","\b(\d*)premiums(\d*)\b",0.58,"#E5243B"
32,1,"disasters","\b(\d*)disasters(\d*)\b",0.54,"#E5243B"
33,1,"extreme poverty","\b(\d*)extreme poverty(\d*)\b",0.54,"#E5243B"
34,1,"infant mortality","\b(\d*)infant mortality(\d*)\b",0.54,"#E5243B"
35,1,"joblessness","\b(\d*)joblessness(\d*)\b",0.54,"#E5243B"
36,1,"insurer","\b(\d*)insurer(\d*)\b",0.54,"#E5243B"
37,1,"disaster","\b(\d*)disaster(\d*)\b",0.52,"#E5243B"
38,1,"low income","\b(\d*)low income(\d*)\b",0.51,"#E5243B"
39,1,"deprivation","\b(\d*)deprivation(\d*)\b",0.5,"#E5243B"
40,1,"underdevelopment","\b(\d*)underdevelopment(\d*)\b",0.49,"#E5243B"
41,1,"poorer","\b(\d*)poorer(\d*)\b",0.49,"#E5243B"
42,1,"gender","\b(\d*)gender(\d*)\b",0.45,"#E5243B"
43,1,"illiteracy","\b(\d*)illiteracy(\d*)\b",0.45,"#E5243B"
44,1,"abject poverty","\b(\d*)abject poverty(\d*)\b",0.45,"#E5243B"
45,1,"environmental degradation","\b(\d*)environmental degradation(\d*)\b",0.45,"#E5243B"
46,1,"marginalization","\b(\d*)marginalization(\d*)\b",0.45,"#E5243B"
47,1,"equality","\b(\d*)equality(\d*)\b",0.45,"#E5243B"
48,1,"retiree","\b(\d*)retiree(\d*)\b",0.45,"#E5243B"
49,1,"employer","\b(\d*)employer(\d*)\b",0.45,"#E5243B"
50,1,"wage","\b(\d*)wage(\d*)\b",0.45,"#E5243B"
51,1,"salaries","\b(\d*)salaries(\d*)\b",0.45,"#E5243B"
52,1,"employers","\b(\d*)employers(\d*)\b",0.45,"#E5243B"
53,1,"mental health","\b(\d*)mental health(\d*)\b",0.45,"#E5243B"
54,1,"foreclosures","\b(\d*)foreclosures(\d*)\b",0.45,"#E5243B"
55,1,"health care","\b(\d*)health care(\d*)\b",0.45,"#E5243B"
56,1,"flood","\b(\d*)flood(\d*)\b",0.41,"#E5243B"
57,1,"hunger","\b(\d*)hunger(\d*)\b",0.4,"#E5243B"
58,1,"discrimination","\b(\d*)discrimination(\d*)\b",0.4,"#E5243B"
59,1,"hiv aids","\b(\d*)hiv aids(\d*)\b",0.4,"#E5243B"
60,1,"socioeconomic","\b(\d*)socioeconomic(\d*)\b",0.4,"#E5243B"
61,1,"poorest","\b(\d*)poorest(\d*)\b",0.4,"#E5243B"
62,1,"maternal mortality","\b(\d*)maternal mortality(\d*)\b",0.4,"#E5243B"
63,1,"educational attainment","\b(\d*)educational attainment(\d*)\b",0.4,"#E5243B"
64,1,"inflation","\b(\d*)inflation(\d*)\b",0.4,"#E5243B"
65,1,"alleviate poverty","\b(\d*)alleviate poverty(\d*)\b",0.4,"#E5243B"
66,1,"recession","\b(\d*)recession(\d*)\b",0.4,"#E5243B"
67,1,"backwardness","\b(\d*)backwardness(\d*)\b",0.4,"#E5243B"
68,1,"social ills","\b(\d*)social ills(\d*)\b",0.4,"#E5243B"
69,1,"minorities","\b(\d*)minorities(\d*)\b",0.4,"#E5243B"
70,1,"benefits","\b(\d*)benefits(\d*)\b",0.4,"#E5243B"
71,1,"housing","\b(\d*)housing(\d*)\b",0.4,"#E5243B"
72,1,"payroll","\b(\d*)payroll(\d*)\b",0.4,"#E5243B"
73,1,"affordable housing","\b(\d*)affordable housing(\d*)\b",0.4,"#E5243B"
74,1,"unemployment rate","\b(\d*)unemployment rate(\d*)\b",0.4,"#E5243B"
75,1,"payrolls","\b(\d*)payrolls(\d*)\b",0.4,"#E5243B"
76,1,"jobless claims","\b(\d*)jobless claims(\d*)\b",0.4,"#E5243B"
77,1,"economists","\b(\d*)economists(\d*)\b",0.4,"#E5243B"
78,1,"reinsurance","\b(\d*)reinsurance(\d*)\b",0.4,"#E5243B"
79,1,"health","\b(\d*)health(\d*)\b",0.37,"#E5243B"
80,1,"population","\b(\d*)population(\d*)\b",0.36,"#E5243B"
