"","classes","goals","related"
"1","ACAD-174","1,8,9,12,17","Inclusive"
"2","ACAD-176","9,12","Inclusive"
"3","ACAD-177","8,9,12,17","Inclusive"
"4","ACAD-178","8,9,12,17","Inclusive"
"5","ACAD-180","9","Inclusive"
"6","ACAD-181","1,4,5,8,9,10,11,12,16,17","Inclusive"
"7","ACAD-182","8,9,12,15,17","Inclusive"
"8","ACAD-187","2,6,7,8,9,12,13,14,15,17","Inclusive"
"9","ACAD-188","8,9,17","Inclusive"
"10","ACAD-189","8,9,17","Inclusive"
"11","ACAD-207","8,9","Inclusive"
"12","ACAD-240","4,9,12","Inclusive"
"13","ACAD-245","9","Inclusive"
"14","ACAD-275","1,8,9","Inclusive"
"15","ACAD-276","9","Inclusive"
"16","ACAD-277","9","Inclusive"
"17","ACAD-280","9","Inclusive"
"18","ACAD-309","5,10,11,16","Inclusive"
"19","ACAD-324","8,9,11,12,17","Inclusive"
"20","ACAD-345","1,8,9","Inclusive"
"21","ACAD-360","9","Inclusive"
"22","ACAD-376","8,9,12,17","Inclusive"
"23","ACAD-377","8,9,12,17","Inclusive"
"24","ACAD-475A","9,12,17","Inclusive"
"25","ACAD-475B","9,12,17","Inclusive"
"26","ACAD-590","9,17","Inclusive"
"27","ACCT-370","8,10,17","Inclusive"
"28","ACCT-371","8,9,10","Inclusive"
"29","ACCT-372","17","Inclusive"
"30","ACCT-373","9","Inclusive"
"31","ACCT-374","1,9","Inclusive"
"32","ACCT-377","8,10,11","Inclusive"
"33","ACCT-380","","NotRelated"
"34","ACCT-385","1,8,9","Inclusive"
"35","ACCT-410","8,9,10","Inclusive"
"36","ACCT-415","1,8,10,17","Inclusive"
"37","ACCT-416","8,9,10,12","Inclusive"
"38","ACCT-430","12,15","Focused"
"39","ACCT-462","8,10,12,15","Focused"
"40","ACCT-470","8,9,10","Inclusive"
"41","ACCT-473","8,10","Inclusive"
"42","ACCT-474","1,8,9,13","Focused"
"43","ACCT-493","9,17","Inclusive"
"44","ACCT-494","17","Inclusive"
"45","ACCT-509","8,9,10","Inclusive"
"46","ACCT-525","1,8,9,10","Inclusive"
"47","ACCT-526","1,8,9,10,11,13,16","Inclusive"
"48","ACCT-527","8,9,10,12","Inclusive"
"49","ACCT-528","8,10,17","Inclusive"
"50","ACCT-530","8,9,12,15,16","Inclusive"
"51","ACCT-532","8,9,10","Inclusive"
"52","ACCT-533","1,4,6,8,9,10,11,12","Inclusive"
"53","ACCT-537","1,8,9,10,12,16","Inclusive"
"54","ACCT-541","8,9,12,15","Focused"
"55","ACCT-546","8,9,10,17","Inclusive"
"56","ACCT-547","9","Inclusive"
"57","ACCT-548","1,9","Inclusive"
"58","ACCT-549","8,9,10,17","Inclusive"
"59","ACCT-550T","1,17","Inclusive"
"60","ACCT-551T","1,8,9","Inclusive"
"61","ACCT-557","8,9,10,16,17","Inclusive"
"62","ACCT-558","8,9,10","Inclusive"
"63","ACCT-559","8,9,10","Inclusive"
"64","ACCT-560T","1,8,9","Inclusive"
"65","ACCT-561T","1,8,9","Inclusive"
"66","ACCT-562","1,8,10,16","Inclusive"
"67","ACCT-563T","1,8","Inclusive"
"68","ACCT-568T","1,4,6,10,11,12","Inclusive"
"69","ACCT-569T","1,2,8,9","Inclusive"
"70","ACCT-570T","1,8,9","Inclusive"
"71","ACCT-571T","1,4,6,8,9,11,12","Inclusive"
"72","ACCT-572","8,10,17","Inclusive"
"73","ACCT-573T","1,16","Inclusive"
"74","ACCT-574","1,8,9,10,13","Focused"
"75","ACCT-578T","9","Inclusive"
"76","ACCT-580T","1,9,10","Inclusive"
"77","ACCT-581","8,9,10","Inclusive"
"78","ACCT-583","1,8,10","Inclusive"
"79","ACCT-584","1,8,11,15","Focused"
"80","ACCT-585","9,17","Inclusive"
"81","ACCT-587","9","Inclusive"
"82","ACCT-595","1,8,9","Inclusive"
"83","ACCT-605","8,9,10,17","Inclusive"
"84","ACCT-608","17","Inclusive"
"85","ACCT-611","9,17","Inclusive"
"86","ACCT-621","9,17","Inclusive"
"87","ACMD-501","1,8,9,11,17","Inclusive"
"88","ACMD-502","1,4,8,13","Focused"
"89","ACMD-503","1,4,13","Focused"
"90","ACMD-511","1,4","Inclusive"
"91","ACMD-514","1,4,9","Inclusive"
"92","ACMD-591","1,4,8,9,12,17","Inclusive"
"93","ACMD-592","8,9,12,17","Inclusive"
"94","ACMD-604","1,4,8,10","Inclusive"
"95","ACMD-605","1,4,8,9,17","Inclusive"
"96","ADNT-701","8,9,17","Inclusive"
"97","ADNT-702","3,9","Inclusive"
"98","ADNT-703A","4,6,9,11,12,17","Inclusive"
"99","ADNT-703B","4,6,9,11,12,17","Inclusive"
"100","ADNT-703C","4,6,9,11,12,17","Inclusive"
"101","ADNT-703D","4,6,9,11,12,17","Inclusive"
"102","ADNT-703E","4,6,9,11,12,17","Inclusive"
"103","ADNT-703F","4,6,11,12,17","Inclusive"
"104","ADNT-703H","4,6,11,12,17","Inclusive"
"105","ADNT-704A","4,8,9,17","Inclusive"
"106","ADNT-704B","4,8,9,17","Inclusive"
"107","ADNT-706","2,3,6,8,12,15,17","Inclusive"
"108","ADNT-707","5,8,9,17","Inclusive"
"109","ADNT-710","1,4","Inclusive"
"110","AEST-100A","9,16","Inclusive"
"111","AEST-100B","9","Inclusive"
"112","AEST-110A","4,8,12,15","Focused"
"113","AEST-110B","4,8,12,15","Focused"
"114","AEST-200A","7,8,9,11,17","Inclusive"
