"SECTION","SCHOOL","COURSE_CODE.","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE.................","...............................................................................................................................................................................................................................................................................","MODE","Link....PUBLISH.","START_TIME","END_TIME","DAYS..","TOTAL_ENR","MODALITY....ASSIGNED_ROOM","TOTAL_ENR.1","DEPT.OWNER.NAME....................................................................................","CAMPUS","SEATS","Beg.Date..","End.Date..","DEPARTMENT........................................","........................."
"10200","ACAD","ACAD-174",1,2,2,"Innovators Forum","","C","Y","17:00","19:50","M",29,"IYH212/213",29,"Jimmy Iovine and Andre Young Academy","UPC",30,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10202","ACAD","ACAD-176",1,4,4,"Rapid Visualization","","C","Y","14:00","16:50","MW",27,"IYH107",27,"Jimmy Iovine and Andre Young Academy","UPC",30,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10221","ACAD","ACAD-177",1,2,2,"Digital Toolbox for Design","","C","Y","17:00","19:50","W",34,"IYH210",34,"Jimmy Iovine and Andre Young Academy","UPC",40,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10204","ACAD","ACAD-178",1,2,2,"Digital Toolbox: Motion Graph","ics","C","N","9:00","11:50","T",0,"",0,"Jimmy Iovine and Andre Young Academy","UPC",1,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10215","ACAD","ACAD-178",648,2,2,"Digital Toolbox: Motion Graph","ics","C","Y","8:00","9:50","MW",34,"IYH210",34,"Jimmy Iovine and Andre Young Academy","UPC",40,"3/9/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10203","ACAD","ACAD-180",1,2,2,"Digital Toolbox: Sound and Au","dio","C","N","9:00","11:50","H",0,"",0,"Jimmy Iovine and Andre Young Academy","UPC",1,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10213","ACAD","ACAD-180",508,2,2,"Digital Toolbox: Sound and Au","dio","C","Y","9:00","11:50","TH",32,"IYH210",32,"Jimmy Iovine and Andre Young Academy","UPC",40,"1/13/2020","3/2/2020","Arts, Technology and the Business of Innovation",NA
"10201","ACAD","ACAD-181",1,4,4,"Disruptive Innovation","","C","Y","18:00","20:20","MW",22,"IYH211",22,"Jimmy Iovine and Andre Young Academy","UPC",34,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10208","ACAD","ACAD-182",1,4,4,"Case Studies in Innovation","","C","Y","9:30","11:50","MW",29,"IYH211",29,"Jimmy Iovine and Andre Young Academy","UPC",30,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10237","ACAD","ACAD-188",508,2,2,"Digital Toolbox: Modeling Pro","ducts I","C","Y","18:00","19:50","TH",27,"IYH210",27,"Jimmy Iovine and Andre Young Academy","UPC",34,"1/13/2020","3/2/2020","Arts, Technology and the Business of Innovation",NA
"10234","ACAD","ACAD-188",1,2,2,"Digital Toolbox: Modeling Pro","ducts I","C","N","18:00","19:50","TH",0,"",0,"Jimmy Iovine and Andre Young Academy","UPC",30,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10235","ACAD","ACAD-189",1,2,2,"Digital Toolbox: Modeling Pro","ducts II","C","N","18:00","19:50","TH",0,"",0,"Jimmy Iovine and Andre Young Academy","UPC",30,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10238","ACAD","ACAD-189",648,2,2,"Digital Toolbox: Modeling Pro","ducts II","C","Y","18:00","19:50","TH",18,"IYH210",18,"Jimmy Iovine and Andre Young Academy","UPC",34,"3/9/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10222","ACAD","ACAD-240",1,4,4,"Materials: Denim to Nanotubes","","C","Y","15:00","16:50","TH",17,"IYH112",17,"Jimmy Iovine and Andre Young Academy","UPC",30,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10232","ACAD","ACAD-245",1,4,4,"Product Design I","","C","Y","18:00","20:50","TH",28,"IYH112",28,"Jimmy Iovine and Andre Young Academy","UPC",30,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10236","ACAD","ACAD-245",1,4,4,"Product Design I","","C","N","18:00","20:50","TH",0,"SKS404",0,"Jimmy Iovine and Andre Young Academy","UPC",16,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10244","ACAD","ACAD-260",1,4,4,"Introduction to Healthcare In","novation","CL","Y","14:00","15:50","TH",7,"IYH211",7,"Jimmy Iovine and Andre Young Academy","UPC",34,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10209","ACAD","ACAD-275",1,4,4,"Dev I","","C","Y","14:00","16:50","TH",28,"IYH210",28,"Jimmy Iovine and Andre Young Academy","UPC",34,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10231","ACAD","ACAD-280",1,4,4,"Designing for Experiences","","C","Y","14:00","16:50","MW",28,"IYH112",28,"Jimmy Iovine and Andre Young Academy","UPC",30,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10206","ACAD","ACAD-307",1,4,4,"Multimedia for Designers and","Entrepreneurs II","C","Y","17:00","19:50","MW",4,"IYH107",4,"Jimmy Iovine and Andre Young Academy","UPC",30,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10233","ACAD","ACAD-309",1,4,4,"Dreams and Madness: The Art o","f Japan's Golden Age of Animation","C","Y","15:30","18:50","W",92,"SLH100",92,"Jimmy Iovine and Andre Young Academy","UPC",95,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10239","ACAD","ACAD-324",1,4,4,"The Practice of Design: Ideat","ion to Innovation","C","Y","14:00","16:50","TH",26,"IYH212/213",26,"Jimmy Iovine and Andre Young Academy","UPC",34,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10212","ACAD","ACAD-350",1,2,2,"International Experience","","C","N","TBA","TBA","",0,"",0,"Jimmy Iovine and Andre Young Academy","UPC",20,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10214","ACAD","ACAD-360",1,4,4,"Design Consulting: Problem So","lving for Organizations","C","Y","10:00","11:50","MW",27,"IYH210",27,"Jimmy Iovine and Andre Young Academy","UPC",36,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10224","ACAD","ACAD-376",1,4,4,"Discerning and Making I: Conc","ept and Feasibility","C","N","15:00","16:50","TH",0,"",0,"Jimmy Iovine and Andre Young Academy","UPC",29,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10243","ACAD","ACAD-377",1,4,4,"Discerning and Making II: Cre","ation and Implementation","C","Y","15:00","16:50","MW",33,"IYH210",33,"Jimmy Iovine and Andre Young Academy","UPC",34,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10217","ACAD","ACAD-419",1,2,2,"Professional Internship","","C","Y","TBA","TBA","",3,"OFFICE",3,"Jimmy Iovine and Andre Young Academy","UPC",30,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10219","ACAD","ACAD-475B",1,8,8,"The Garage Experience","","C","Y","12:00","14:50","MW",29,"SKS404",29,"Jimmy Iovine and Andre Young Academy","UPC",30,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10245","ACAD","ACAD-490",1,1,8,"Directed Research","","C","N","TBA","TBA","",0,"A           OFFICE",0,"Jimmy Iovine and Andre Young Academy","UPC",1,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10242","ACAD","ACAD-490",1,1,8,"Directed Research","","C","N","TBA","TBA","",0,"A           OFFICE",0,"Jimmy Iovine and Andre Young Academy","UPC",1,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10227","ACAD","ACAD-490",1,1,8,"Directed Research","","C","Y","TBA","TBA","",0,"OFFICE",0,"Jimmy Iovine and Andre Young Academy","UPC",5,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10226","ACAD","ACAD-490",1,3,3,"Directed Research","","C","Y","TBA","TBA","",0,"OFFICE",0,"Jimmy Iovine and Andre Young Academy","UPC",5,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10220","ACAD","ACAD-490",1,1,8,"Directed Research","","C","Y","TBA","TBA","",1,"OFFICE",1,"Jimmy Iovine and Andre Young Academy","UPC",5,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10228","ACAD","ACAD-490",1,1,8,"Directed Research","","C","Y","TBA","TBA","",1,"OFFICE",1,"Jimmy Iovine and Andre Young Academy","UPC",5,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10241","ACAD","ACAD-491",1,1,4,"Individual Instruction","","C","N       Y","TBA","TBA","",3,"OFFICE",3,"Jimmy Iovine and Andre Young Academy","UPC",3,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10207","ACAD","ACAD-499",1,2,2,"Special Topics","","C","Y","17:00","18:50","H",3,"IYH213",3,"Jimmy Iovine and Andre Young Academy","UPC",16,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10211","ACAD","ACAD-499",1,4,4,"Special Topics","","C","Y","10:00","11:50","TH",11,"IYH212",11,"Jimmy Iovine and Andre Young Academy","UPC",30,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10210","ACAD","ACAD-499",1,2,2,"Special Topics","","C","Y","17:30","19:20","W",15,"IYH212",15,"Jimmy Iovine and Andre Young Academy","UPC",30,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10225","ACAD","ACAD-499",552,2,2,"Special Topics","","C","Y","TBA","TBA","",6,"OFFICE",6,"Jimmy Iovine and Andre Young Academy","OFC",26,"2/3/2020","5/27/2020","Arts, Technology and the Business of Innovation",NA
"10249","ACAD","ACAD-590",1,1,3,"Directed Research","","C","Y","TBA","TBA","",0,"OFFICE",0,"Jimmy Iovine and Andre Young Academy","UPC",20,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"10248","ACAD","ACAD-590",1,1,3,"Directed Research","","C","Y","TBA","TBA","",0,"OFFICE",0,"Jimmy Iovine and Andre Young Academy","UPC",20,"1/13/2020","5/1/2020","Arts, Technology and the Business of Innovation",NA
"34053","ACAD","IDSN-505",68,0.5,0.5,"Intensive","","C","Y","TBA","TBA","",22,"ONLINE",22,"Jimmy Iovine and Andre Young Academy","OFC",30,"1/13/2020","5/2/2020","Integrated Design, Business and Technology",NA
"34055","ACAD","IDSN-505",558,1,1,"Intensive","","C","Y","9:00","17:00","SU",25,"IYH212/213",25,"Jimmy Iovine and Andre Young Academy","UPC",25,"2/29/2020","3/1/2020","Integrated Design, Business and Technology",NA
"34052","ACAD","IDSN-505",68,0.5,0.5,"Intensive","","C","Y","TBA","TBA","",19,"ONLINE",19,"Jimmy Iovine and Andre Young Academy","OFC",30,"1/13/2020","5/2/2020","Integrated Design, Business and Technology",NA
"34056","ACAD","IDSN-505",551,1,1,"Intensive","","C","Y","9:00","17:00","SU",10,"ONLINE",10,"Jimmy Iovine and Andre Young Academy","OFC",10,"4/4/2020","4/5/2020","Integrated Design, Business and Technology",NA
"34062","ACAD","IDSN-515",549,2,2,"Professional Practices Reside","ntial","C","Y","9:00","17:00","MHFSU",24,"OFFICE",24,"Jimmy Iovine and Andre Young Academy","OFC",24,"2/6/2020","2/10/2020","Integrated Design, Business and Technology",NA
"34063","ACAD","IDSN-515",644,2,2,"Professional Practices Reside","ntial","C","Y","9:00","17:00","MHFSU",18,"ONLINE",18,"Jimmy Iovine and Andre Young Academy","OFC",24,"4/23/2020","4/27/2020","Integrated Design, Business and Technology",NA
"34112","ACAD","IDSN-545",68,2,2,"Integrative Project","","C","Y","19:30","20:50","W",18,"ONLINE",18,"Jimmy Iovine and Andre Young Academy","OFC",40,"1/13/2020","5/2/2020","Integrated Design, Business and Technology",NA
"34193","ACAD","IDSN-590",68,1,3,"Directed Research","","C","Y","TBA","TBA","",1,"OFFICE",1,"Jimmy Iovine and Andre Young Academy","OFC",20,"1/13/2020","5/2/2020","Integrated Design, Business and Technology",NA
"34194","ACAD","IDSN-590",1,1,1,"Directed Research","","C","N","TBA","TBA","",0,"OFFICE",0,"Jimmy Iovine and Andre Young Academy","UPC",5,"1/13/2020","5/1/2020","Integrated Design, Business and Technology",NA
"34192","ACAD","IDSN-590",68,1,3,"Directed Research","","C","Y","TBA","TBA","",22,"OFFICE",22,"Jimmy Iovine and Andre Young Academy","OFC",25,"1/13/2020","5/2/2020","Integrated Design, Business and Technology",NA
"34196","ACAD","IDSN-599",68,3,3,"Special Topics","","C","Y","17:00","19:20","T",6,"ONLINE",6,"Jimmy Iovine and Andre Young Academy","UPC",20,"1/13/2020","5/2/2020","Integrated Design, Business and Technology",NA
"14002","ACCT","ACCT-410",1,4,4,"Foundations of Accounting","","C","Y","10:00","11:50","TH",41,"JFF240",41,"Elaine and Kenneth Leventhal School of Accounting","UPC",48,"1/13/2020","5/1/2020","Accounting",NA
"14006","ACCT","ACCT-410",1,4,4,"Foundations of Accounting","","C","Y","14:00","15:50","TH",41,"JFF240",41,"Elaine and Kenneth Leventhal School of Accounting","UPC",47,"1/13/2020","5/1/2020","Accounting",NA
"14004","ACCT","ACCT-410",1,4,4,"Foundations of Accounting","","C","Y","12:00","13:50","MW",37,"ACC236",37,"Elaine and Kenneth Leventhal School of Accounting","UPC",39,"1/13/2020","5/1/2020","Accounting",NA
"14003","ACCT","ACCT-410",1,4,4,"Foundations of Accounting","","C","Y","12:00","13:50","TH",42,"JFF240",42,"Elaine and Kenneth Leventhal School of Accounting","UPC",46,"1/13/2020","5/1/2020","Accounting",NA
"14005","ACCT","ACCT-410",1,4,4,"Foundations of Accounting","","C","Y","14:00","15:50","MW",37,"ACC236",37,"Elaine and Kenneth Leventhal School of Accounting","UPC",39,"1/13/2020","5/1/2020","Accounting",NA
"14001","ACCT","ACCT-410",1,4,4,"Foundations of Accounting","","C","Y","8:00","9:50","TH",34,"JFF240",34,"Elaine and Kenneth Leventhal School of Accounting","UPC",46,"1/13/2020","5/1/2020","Accounting",NA
"14105","ACCT","ACCT-416",431,2,2,"Financial Reporting and Analy","sis","C","Y","14:00","15:50","MW",46,"JFF239",46,"Elaine and Kenneth Leventhal School of Accounting","UPC",48,"1/13/2020","3/7/2020","Accounting",NA
"14186","ACCT","ACCT-462",431,2,2,"Detecting Fraudulent Financia","l Reporting","C","Y","16:00","17:50","TH",48,"JFF236",48,"Elaine and Kenneth Leventhal School of Accounting","UPC",49,"1/13/2020","3/7/2020","Accounting",NA
"14140","ACCT","ACCT-474",442,2,2,"Tax Issues for Business","","C","Y","14:00","15:50","MW",16,"JFF239",16,"Elaine and Kenneth Leventhal School of Accounting","UPC",40,"3/9/2020","5/1/2020","Accounting",NA
"14141","ACCT","ACCT-474",442,2,2,"Tax Issues for Business","","C","Y","16:00","17:50","MW",17,"BRI5",17,"Elaine and Kenneth Leventhal School of Accounting","UPC",39,"3/9/2020","5/1/2020","Accounting",NA
"14142","ACCT","ACCT-474",442,0,0,"Tax Issues for Business","","L","Y","10:00","11:50","F",33,"JFF322",33,"Elaine and Kenneth Leventhal School of Accounting","UPC",45,"3/9/2020","5/1/2020","Accounting",NA
"14250","ACCT","ACCT-551T",1,3,3,"Taxation of Partnerships and","S-Corps","C","Y","19:30","21:00","M",8,"ACC303",8,"Elaine and Kenneth Leventhal School of Accounting","UPC",30,"1/13/2020","5/1/2020","Accounting",NA
"14249","ACCT","ACCT-551T",378,3,3,"Taxation of Partnerships and","S-Corps","C","Y","17:30","19:00","M",15,"ONLINE",15,"Elaine and Kenneth Leventhal School of Accounting","UPC",30,"1/13/2020","5/1/2020","Accounting",NA
"14280","ACCT","ACCT-568T",1,3,3,"International Taxation","","C","Y","9:30","10:50","MW",22,"JKP104",22,"Elaine and Kenneth Leventhal School of Accounting","UPC",33,"1/13/2020","5/1/2020","Accounting",NA
"14300","ACCT","ACCT-590",1,1,4,"Directed Research","","C","Y","TBA","TBA","",0,"OFFICE",0,"Elaine and Kenneth Leventhal School of Accounting","UPC",10,"1/13/2020","5/1/2020","Accounting",NA
"14302","ACCT","ACCT-597",1,1,5,"Consulting Project in Account","ing","C","N","TBA","TBA","",0,"OFFICE",0,"Elaine and Kenneth Leventhal School of Accounting","UPC",99,"1/13/2020","5/1/2020","Accounting",NA
"21911","ANSC","ASCJ-200",1,4,4,"Navigating Media and News in","the Digital Age","C","A       Y","14:00","15:20","TH",74,"ANN L105A",74,"Annenberg School for Communication and Journalism","UPC",74,"1/13/2020","5/1/2020","Communication and Journalism",NA
