"SECTION","SCHOOL","COURSE_CODE","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","Link","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","DEPTOWNERNAME","DEPARTMENT","origin"
"10229","ACAD","ACAD-419","59","2","2","Professional Internship ","C ","","Y ","TBA ","TBA ","","0","","Dent, Patrick, H","OFFICE ","0","An experiential/academic opportunity in an arts, technology and business related facility. Written analysis, evaluation, and working internship.","Jimmy Iovine and Andre Young Academy","ACAD","20222"
"10248","ACAD","ACAD-590","59","1","3","Directed Research ","C ","","Y ","TBA ","TBA ","","0","","Crowley, Michael, Gregory ","OFFICE ","0","Research leading to graduate degree. Maximum units which may be applied to degree determined by department. ","Jimmy Iovine and Andre Young Academy","ACAD","20222"
"10249","ACAD","ACAD-590","59","1","3","Directed Research ","C ","","Y ","TBA ","TBA ","","0","","Crowley, Michael, Gregory ","OFFICE ","0","Research leading to graduate degree. Maximum units which may be applied to degree determined by department. ","Jimmy Iovine and Andre Young Academy","ACAD","20222"
"14200","BUAD","ACCT-525","418","15","15","Intensive Accounting Principles and Practices","C","","Y","8:00","17:45","MTWHF","33","","Smith, Lori, L.","JKP202","33","Technical accounting theory and principles necessary for graduatework.Satisfies the prerequisite requirements for intermediate and advanced accounting, auditing, and tax.Credit toward degree limited to M.Acc. and M.B.T. students. Recommended Preparation: Introductory accounting courses.","Gordon S. Marshall School of Business","ACCT","20222"
"14226","GSBA","ACCT-540","476","3","3","Technological Innovations in Accounting and Auditing","C ","","Y ","13:00","15:50","MWF ","35","B ","O'Leary, Daniel, Edmund ","JKP212 ","35","New, emerging and potential technologies for accounting and audit, emphasizing data and analytics.Actual and potential effects of new technologies in accounting and auditing settings. ","Gordon S. Marshall School of Business","ACCT","20222"
"14230","GSBA","ACCT-542","934","1.5","1.5","Fraud Analytics in the Audit","C ","","Y ","9:00","11:00","MWH ","35","B ","Perlmutter, Herbert ","JKP102 ","35","Understanding/identifying fraud risk from an auditors perspective; development of an analytics skillset to detect financial fraud risk. ","Gordon S. Marshall School of Business","ACCT","20222"
"14271","ACCT","ACCT-561T ","378","3","3","Income Tax of Corporations and Their Shareholders ","C ","","Y ","17:30","19:00","T ","18","","Kling, Greg ","ONLINE ","18"," Concepts and principles governing the taxation of corporations and their shareholders; the effect of taxes on corporate formation, capital structure, distributions, and liquidations. Recommended preparation: ACCT-550T or ACCT-560T or LAW-600. ","Elaine and Kenneth Leventhal School of Accounting","ACCT","20222"
"14291","GSBA","ACCT-570T ","419","3","3","State and Local Tax Concepts","C ","","N ","19:30","21:00","M ","0","","Swenson, Charles, W ","JKP102 ","0","State income taxes; property tax; other state and local taxes; the effect of state and local taxes on multistate operations.","Gordon S. Marshall School of Business","ACCT","20222"
"14288","GSBA","ACCT-570T ","378","3","3","State and Local Tax Concepts","C ","","Y ","17:30","19:00","M ","27","A ","Swenson, Charles, W ","ONLINE ","27","State income taxes; property tax; other state and local taxes; the effect of state and local taxes on multistate operations.","Gordon S. Marshall School of Business","ACCT","20222"
"14289","GSBA","ACCT-571T ","378","3","3","Taxation of Business Owners and High Net-Worth Individuals","C ","","Y ","17:30","19:00","W ","8","","Kling, Greg ","ONLINE ","8","Application of tax law in areas of compensation planning, investment planning, tax shelters, and current developments relating to the individual taxpayer.","Gordon S. Marshall School of Business","ACCT","20222"
"14290","GSBA","ACCT-571T ","419","3","3","Taxation of Business Owners and High Net-Worth Individuals","C ","","Y ","16:00","17:20","W ","7","A ","Kling, Greg ","ONLINE ","7","Application of tax law in areas of compensation planning, investment planning, tax shelters, and current developments relating to the individual taxpayer.","Gordon S. Marshall School of Business","ACCT","20222"
"14317","GSBA","ACCT-599","378","3","3","Special Topics","C","","Y","14:30","15:50","T","18","A","Swenson, Charles, W","ONLINE","18","New developments in contemporary accounting. Specific topics vary each semester.","Gordon S. Marshall School of Business","ACCT","20222"
"40264","MED ","ACMD-511","98","3","3","Competencies in Academic Medicine and Health I","C ","","Y ","TBA ","TBA ","","1","A ","Nyquist, Julie, Gayle ","OFFICE ","1","Acquisition of cognitive knowledge and problem solving skills in health professions worldwide; instructional methods, assessment techniques, designing curricula for health professions education.","Keck School of Medicine","ACMD","20222"
"40268","MED","ACMD-514","98","3","3","Accreditation and Program Evaluation in Academic Medicine","C","","Y","17:00","20:00","H","11","A","Nyquist, Julie, GayleSteiner, Shara","","11","Evaluating health professions training programs within guidelines of relevant accreditation organizations; models of evaluation, designing plans and tools for evaluation of program elements.","Keck School of Medicine","ACMD","20222"
"40279","MED ","ACMD-598","98","1","3","Fieldwork: Designing Innovations for the Health Professions ","C ","","Y ","TBA ","TBA ","M ","2","A ","Nyquist, Julie, Gayle ","OFFICE ","2","Individual projects designing curricular or other innovations for the home program as an application of Year 1 concepts and as part of the capstone experience. Graded CR/NC. ","Keck School of Medicine","ACMD","20222"
"40277","MED","ACMD-604","98","3","3","Supporting the Educational Enterprise in Academic Medicine","C","","Y","TBA","TBA","T","2","A","Nyquist, Julie, GayleGates, Jerry, D","OFFICE","2","Explores support functions in academic medical centers and health professions schools; financial, scientific, educational, faculty and student affairs departments, and offices of medical education.","Keck School of Medicine","ACMD","20222"
"40280","MED ","ACMD-605","98","2","2","Faculty Development for Health Sciences Faculty Educators ","C ","","Y ","17:00","19:00","W ","6","A ","Nyquist, Julie, Gayle "," ","6","Role of faculty development programs in health professions schools; tools for delivering effective continuing education and faculty development; models for mentoring clinical faculty. ","Keck School of Medicine","ACMD","20222"
"40282","MED ","ACMD-621","98","1","1","Capstone Portfolio for the Master of Academic Medicine","C ","","Y ","17:00","18:00","T ","3","A ","Nyquist, Julie, Gayle "," ","3","Role of portfolios for teachers and learners; develop a personal capstone portfolio that represents each learners accomplishment of the core competencies of the MACM program.","Keck School of Medicine","ACMD","20222"
"22614","DENT","ADNT-702","28","0","0","Physical Diagnosis","C ","","Y ","TBA ","TBA ","","2","","Cho, Nam","OFFICE ","2"," Didactic and clinical experience in physical diagnosis relevant to practice of the dental specialties. Lecture, 1 hour; demonstration, 1 hour. ","Ostrow School of Dentistry","ADNT","20222"
"22606","DENT","ADNT-703A","24","0","0","Seminar: Combined Treatment Planning","C","","Y","TBA","TBA","","4","","Kar, KianPark, Cheryl, Jonghee Chee, Winston","OFFICE","4","Interdisciplinary consideration of complex cases which involve several of the dental specialties.","Ostrow School of Dentistry","ADNT","20222"
"22609","DENT","ADNT-703A","24","0","0","Seminar: Combined Treatment Planning","C","","Y","TBA","TBA","","5","","Chee, WinstonPark, Cheryl, Jonghee","OFFICE","5","Interdisciplinary consideration of complex cases which involve several of the dental specialties.","Ostrow School of Dentistry","ADNT","20222"
"22608","DENT","ADNT-703B","9","2","2","Seminar: Combined Treatment Planning","C","","Y","TBA","TBA","","6","","Chee, WinstonPark, Cheryl, Jonghee","OFFICE","6","Interdisciplinary consideration of complex cases which involve several of the dental specialties.","Ostrow School of Dentistry","ADNT","20222"
"22604","DENT","ADNT-703C","369","2","2","Seminar: Combined Treatment Planning","C","","Y","TBA","TBA","","4","","Chee, WinstonKar, Kian Park, Cheryl, Jonghee","OFFICE","4","Interdisciplinary consideration of complex cases which involveseveral of the dental specialties.","Ostrow School of Dentistry","ADNT","20222"
"22607","DENT","ADNT-703E","10","2","2","Seminar: Combined Treatment Planning","C","","Y","TBA","TBA","","5","","Chee, WinstonPark, Cheryl, Jonghee","OFFICE","5","Interdisciplinary consideration of complex cases which involve several of the dental specialties.","Ostrow School of Dentistry","ADNT","20222"
"22602","DENT","ADNT-703F","370","2","2","Seminar: Combined Treatment Planning","C","","Y","TBA","TBA","","4","","Chee, WinstonKar, Kian Park, Cheryl, Jonghee","OFFICE","4","Interdisciplinary consideration of complex cases which involve several of the dental specialities.Graded CR/NC.","Ostrow School of Dentistry","ADNT","20222"
"22605","DENT","ADNT-703I","30","2","2","Seminar: Combined Treatment Planning","C","","Y","TBA","TBA","","5","","Chee, WinstonPark, Cheryl, Jonghee","OFFICE","5","Interdisciplinary consideration of complex cases which involve several of the dental specialities.Graded CR/NC.","Ostrow School of Dentistry","ADNT","20222"
"22601","DENT","ADNT-703J","394","2","2","Seminar: Combined Treatment Planning","C","","Y","TBA","TBA","","4","","Chee, WinstonKar, Kian Park, Cheryl, Jonghee","OFFICE","4","Interdisciplinary consideration of complex cases which involve several of the dental specialities.Graded CR/NC.","Ostrow School of Dentistry","ADNT","20222"
"22612","DENT","ADNT-710","24","0","0","Internship: Dental Education","C","","Y","TBA","TBA","","10","","Good, David, LiebPham, Catherine, M","OFFICE","10","Practical experience teaching predoctoral students. Units and hours variable.","Ostrow School of Dentistry","ADNT","20222"
"22610","DENT","ADNT-710","715","0","0","Internship: Dental Education","C ","","Y ","TBA ","TBA ","","2","","Duarte, Sillas","OFFICE ","2"," Practical experience teaching predoctoral students. Units and hours variable.","Ostrow School of Dentistry","ADNT","20222"
"22613","DENT","ADNT-710","23","5","5","Internship: Dental Education","C ","","Y ","TBA ","TBA ","","3","","Cho, Nam","OFFICE ","3"," Practical experience teaching predoctoral students. Units and hours variable.","Ostrow School of Dentistry","ADNT","20222"
"22600","DENT","ADNT-710","990","5","5","Internship: Dental Education","C ","","Y ","TBA ","TBA ","","10","","Roges, Rafael ","OFFICE ","10"," Practical experience teaching predoctoral students. Units and hours variable.","Ostrow School of Dentistry","ADNT","20222"
"22615","DENT","ADNT-710","28","0","0","Internship: Dental Education","C ","","Y ","TBA ","TBA ","","2","","Cho, Nam","OFFICE ","2"," Practical experience teaching predoctoral students. Units and hours variable.","Ostrow School of Dentistry","ADNT","20222"
"22619","DENT","ADNT-710","637","0","0","Internship: Dental Education","C ","","Y ","TBA ","TBA ","","10","","Roges, Rafael ","OFFICE ","10"," Practical experience teaching predoctoral students. Units and hours variable.","Ostrow School of Dentistry","ADNT","20222"
"22611","DENT","ADNT-710","27","4","4","Internship: Dental Education","C","","Y","TBA","TBA","","10","","Good, David, LiebPham, Catherine, M","OFFICE","10","Practical experience teaching predoctoral students. Units and hours variable.","Ostrow School of Dentistry","ADNT","20222"
"22620","DENT","ADNT-710","370","0","0","Internship: Dental Education","C ","","Y ","TBA ","TBA ","","8","","Kar, Kian ","OFFICE ","8"," Practical experience teaching predoctoral students. Units and hours variable.","Ostrow School of Dentistry","ADNT","20222"
"11968","LASH","AHIS-370","51","4","4","Modern Art III: 1940 to the Present ","CD","","Y ","11:00","15:15","TH","16","A ","Hudson, Suzanne, Perling","ONLINE ","16","Questions of social engagement and political structure address this examination of major international movements in art since 1940. ","LAS- Humanities","AHIS","20222"
"11988","LASH","AHIS-400","54","2","2","Undergraduate Apprenticeship","C","","Y","TBA","TBA","","0","","Reyes, Hector","OFFICE","0","Independent work in art museums, galleries or art history relatedinstitutes supervised by on-site professionals and USC faculty. Not available for credit for AHIS majors. CR/NC","LAS- Humanities","AHIS","20222"
"12041","LAS ","AHIS-490","54","1","8","Directed Research ","C ","","Y ","TBA ","TBA ","","0","","Reyes, Hector ","OFFICE ","0"," Individual research and readings. Not available for graduate credit. ","Dana and David Dornsife College of Letters, Arts and Sciences","AHIS","20222"
"12047","LASH","AHIS-495B ","54","2","2","Undergraduate Honors Thesis ","C ","","Y ","TBA ","TBA ","","0","","Reyes, Hector ","OFFICE ","0","Research and writing of original thesis under guidance of faculty member. Prereq: Consent of instructor.","LAS- Humanities","AHIS","20222"
"12101","LASH","AHIS-590","54","1","12","Directed Research","C","","Y","TBA","TBA","","0","","Ogata, Amy","OFFICE","0","Research leading to graduate degree. Maximum units which may be applied to degree determined by department.Graded CR/NC.","LAS- Humanities","AHIS","20222"
"12180","LASH","AHIS-790","54","1","12","Research","C ","","Y ","TBA ","TBA ","","0","","Ogata, Amy","OFFICE ","0","Research leading to the Doctorate. Maximum units which may be applied to the degree to be determined by the department. ","LAS- Humanities","AHIS","20222"
"12194","LASH","AHIS-794Z","54","0","0","Doctoral Dissertation","C","","Y","TBA","TBA","","0","","Ogata, Amy","OFFICE","0","Credit on acceptance of Dissertation. Graded CR/NC.","LAS- Humanities","AHIS","20222"
"10122","LASH","ALI-242 ","52","2","2","High Intermediate Pronunciation ","C ","","Y ","9:00","11:50","MTWH","0","","Griner, Barry, David","CPA104 ","0","Required for international students whose pronunciation skills are assessed at the high intermediate level by the International Student English Examination (ISE) or previous ALI course. Graded CR/NC. ","LAS- Humanities","ALI","20222"
"10125","LAS ","ALI-244 ","50","2","2","Academic and Professional Speaking Skills III ","C ","","Y ","13:00","14:50","MTWH","0","","","THH219 ","0","Required for international students whose oral skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI course.","Dana and David Dornsife College of Letters, Arts and Sciences","ALI","20222"
"10132","LAS ","ALI-245 ","52","2","2","Academic and Professional Writing III ","C ","N ","Y ","9:00","11:50","MTWH","0","","Kang, Nina","THH109 ","0","Required for international students whose writing skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI course. ","Dana and David Dornsife College of Letters, Arts and Sciences","ALI","20222"
"10135","LASH","ALI-252 ","52","2","2","Advanced Pronunciation","C ","","Y ","10:00","12:50","MTWH","6","","Tzoytzoyrakos, Anastassia ","THH213 ","6","Required for international students whose pronunciation skills are assessed at the advanced level by the International Student English Examination (ISE) or previous ALI course.","LAS- Humanities","ALI","20222"
"10137","LASH","ALI-252 ","50","2","2","Advanced Pronunciation","C ","","N ","10:00","11:50","MTWH","0","","","THH107 ","0","Required for international students whose pronunciation skills are assessed at the advanced level by the International Student English Examination (ISE) or previous ALI course.","LAS- Humanities","ALI","20222"
"10136","LASH","ALI-252 ","52","2","2","Advanced Pronunciation","C ","","N ","9:00","11:50","MTWH","0","","","CPA103 ","0","Required for international students whose pronunciation skills are assessed at the advanced level by the International Student English Examination (ISE) or previous ALI course.","LAS- Humanities","ALI","20222"
"10144","LAS ","ALI-255 ","50","2","2","Academic and Professional Writing Skills IV ","C ","","N ","17:00","18:50","MTWH","0","","","THH105 ","0","Required for international students whose writing skills are assessed to be at the advanced level by the International Student English Examination (ISE) or previous ALI course.","Dana and David Dornsife College of Letters, Arts and Sciences","ALI","20222"
"10173","LASH","ALI-275 ","50","2","2","Writing for Publication and Dissertations ","C ","","Y ","15:00","18:50","TH","9","A ","Levin, Tracy, Frances ","ONLINE ","9","Elective course for international graduate students focusing on conventions of advanced academic writing and problems in syntax, vocabulary, and register for writing and/or publishing dissertations. Graded CR/NC.","LAS- Humanities","ALI","20222"
"10172","LASH","ALI-275 ","50","2","2","Writing for Publication and Dissertations ","C ","","Y ","12:00","15:50","TH","8","","Murphy, Mary Ann","THH107 ","8","Elective course for international graduate students focusing on conventions of advanced academic writing and problems in syntax, vocabulary, and register for writing and/or publishing dissertations. Graded CR/NC.","LAS- Humanities","ALI","20222"
"10170","LASH","ALI-275 ","50","2","2","Writing for Publication and Dissertations ","C ","","N ","12:00","15:50","MW","0","","Murphy, Mary Ann","WPHB26 ","0","Elective course for international graduate students focusing on conventions of advanced academic writing and problems in syntax, vocabulary, and register for writing and/or publishing dissertations. Graded CR/NC.","LAS- Humanities","ALI","20222"
"10171","LASH","ALI-275 ","50","2","2","Writing for Publication and Dissertations ","C ","","Y ","15:00","18:50","MW","9","","Jones, Richard","THH219 ","9","Elective course for international graduate students focusing on conventions of advanced academic writing and problems in syntax, vocabulary, and register for writing and/or publishing dissertations. Graded CR/NC.","LAS- Humanities","ALI","20222"
"10174","LAS ","ALI-276 ","50","2","2","Workshop for International Teaching Assistants","C ","","Y ","10:00","11:50","MTWH","8","","Aarsen, Lucienne, Louise","CPA204 ","8","Language assistance and individualized instruction to help International Teaching Assistants develop the skills and language proficiency necessary to perform their classroom duties.Graded CR/NC.","Dana and David Dornsife College of Letters, Arts and Sciences","ALI","20222"
"10175","LAS ","ALI-276 ","50","2","2","Workshop for International Teaching Assistants","C ","","N ","10:00","11:50","MTWH","0","","","THH219 ","0","Language assistance and individualized instruction to help International Teaching Assistants develop the skills and language proficiency necessary to perform their classroom duties.Graded CR/NC.","Dana and David Dornsife College of Letters, Arts and Sciences","ALI","20222"
"28812","ENGR","AME-308 ","55","3","3","Computer-Aided Analyses for Aero-Mechanical Design","C ","","Y ","9:00","11:50","M ","9","","Jin, Bo, Cheng","SAL127 ","9","Introduction to the finite element method; practical application of computer analysis tools for structural analysis and design. Prerequisite: AME 204. Corequisite: AME 301.","Andrew and Erna Viterbi School of Engineering","AME","20222"
"28810","ENGR","AME-341A","50","3","3","Mechoptronics Laboratory I and II ","C ","A ","Y ","9:00","11:00","TH","9","","Potnuru, Akshay ","GFS201 ","9","A coordinated laboratory and lecture sequence on aeromechanical instrumentation and device control stressing the symbiotic integration of mechanical, optical and electronic components.","Andrew and Erna Viterbi School of Engineering","AME","20222"
"28811","ENGR","AME-341A","50","0","0","Mechoptronics Laboratory I and II ","L ","A ","Y ","9:00","12:50","W ","9","","Potnuru, Akshay ","BHE301 ","9","A coordinated laboratory and lecture sequence on aeromechanical instrumentation and device control stressing the symbiotic integration of mechanical, optical and electronic components.","Andrew and Erna Viterbi School of Engineering","AME","20222"
"28850","ENGR","AME-490 ","59","1","8","Directed Research ","C ","","Y ","TBA ","TBA ","","0","","Ronney, Paul, David ","OFFICE ","0"," Individual research and readings. Not available for graduate credit. ","Andrew and Erna Viterbi School of Engineering","AME","20222"
"29055","ENGR","AME-525 ","910","4","4","Engineering Analysis","C ","","Y ","11:00","13:05","MTWH","12","","Abramova, Inna","DEN@Viterbi","12","Engineering mathematical methods: linear algebra, eigen problems, introduction to linear partial differential equations, transforms and complex variable theory.","Andrew and Erna Viterbi School of Engineering","AME","20222"
"28885","ENGR","AME-525 ","902","4","4","Engineering Analysis","C ","","Y ","11:00","13:05","MTWH","8","","Abramova, Inna","OHE100B","8","Engineering mathematical methods: linear algebra, eigen problems, introduction to linear partial differential equations, transforms and complex variable theory.","Andrew and Erna Viterbi School of Engineering","AME","20222"
"28886","ENGR","AME-526 ","901","4","4","Introduction to Mathematical Methods in Engineering II","C ","D ","Y ","9:00","11:50","TH","7","","Egolfopoulos, Fokion","OHE136 ","7","An intermediate and comprehensive methods of engineering mathematics course covering basic methods for solving linear partial differential equations including the method of characteristics and Green's function.","Andrew and Erna Viterbi School of Engineering","AME","20222"
"29056","ENGR","AME-526 ","909","4","4","Introduction to Mathematical Methods in Engineering II","C ","F ","Y ","9:00","11:50","TH","0","","Egolfopoulos, Fokion","DEN@Viterbi","0","An intermediate and comprehensive methods of engineering mathematics course covering basic methods for solving linear partial differential equations including the method of characteristics and Green's function.","Andrew and Erna Viterbi School of Engineering","AME","20222"
"29057","ENGR","AME-526 ","909","0","0","Introduction to Mathematical Methods in Engineering II","D ","F ","Y ","17:00","18:20","MW","0","","Egolfopoulos, Fokion","DEN@Viterbi","0","An intermediate and comprehensive methods of engineering mathematics course covering basic methods for solving linear partial differential equations including the method of characteristics and Green's function.","Andrew and Erna Viterbi School of Engineering","AME","20222"
"28887","ENGR","AME-526 ","901","0","0","Introduction to Mathematical Methods in Engineering II","D ","D ","Y ","17:00","18:20","MW","7","","Egolfopoulos, Fokion","OHE100C","7","An intermediate and comprehensive methods of engineering mathematics course covering basic methods for solving linear partial differential equations including the method of characteristics and Green's function.","Andrew and Erna Viterbi School of Engineering","AME","20222"
"28950","ENGR","AME-590 ","908","1","6","Directed Research ","C ","","Y ","TBA ","TBA ","","3","","Ronney, Paul, David ","OFFICE ","3"," Research leading to the Master's Degree. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.","Andrew and Erna Viterbi School of Engineering","AME","20222"
"28955","ENGR","AME-594A","908","2","2","Master's Thesis ","C ","","Y ","TBA ","TBA ","","0","","Ronney, Paul, David ","OFFICE ","0","Credit on acceptance of Thesis. ","Andrew and Erna Viterbi School of Engineering","AME","20222"
"28956","ENGR","AME-594B","908","2","2","Master's Thesis ","C ","","Y ","TBA ","TBA ","","0","","Ronney, Paul, David ","OFFICE ","0","Credit on acceptance of Thesis. Graded CR/NC. ","Andrew and Erna Viterbi School of Engineering","AME","20222"
"28989","ENGR","AME-790 ","908","1","12","Research","C ","","Y ","TBA ","TBA ","","18","","Ronney, Paul, David ","OFFICE ","18"," Research leading to the doctorate. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.","Andrew and Erna Viterbi School of Engineering","AME","20222"
"29088","ENGR","AME-790 ","902","1","12","Research","C ","","Y ","TBA ","TBA ","","0","","Ronney, Paul, David ","OFFICE ","0"," Research leading to the doctorate. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.","Andrew and Erna Viterbi School of Engineering","AME","20222"
"28991","ENGR","AME-794A","908","2","2","Doctoral Dissertation ","C ","","Y ","TBA ","TBA ","","5","","Ronney, Paul, David ","OFFICE ","5","Credit on acceptance of Dissertation. ","Andrew and Erna Viterbi School of Engineering","AME","20222"
"28992","ENGR","AME-794B","908","2","2","Doctoral Dissertation ","C ","","Y ","TBA ","TBA ","","2","","Ronney, Paul, David ","OFFICE ","2","Credit on acceptance of Dissertation. ","Andrew and Erna Viterbi School of Engineering","AME","20222"
"28993","ENGR","AME-794C","908","2","2","Doctoral Dissertation ","C ","","Y ","TBA ","TBA ","","3","","Ronney, Paul, David ","OFFICE ","3","Credit on acceptance of Dissertation. ","Andrew and Erna Viterbi School of Engineering","AME","20222"
"28994","ENGR","AME-794D","908","2","2","Doctoral Dissertation ","C ","","Y ","TBA ","TBA ","","1","","Ronney, Paul, David ","OFFICE ","1","Credit on acceptance of Thesis. ","Andrew and Erna Viterbi School of Engineering","AME","20222"
"28995","ENGR","AME-794Z","908","0","0","Doctoral Dissertation ","C ","","Y ","TBA ","TBA ","","0","","Ronney, Paul, David ","OFFICE ","0","Credit on acceptance of Dissertation. ","Andrew and Erna Viterbi School of Engineering","AME","20222"
