SECTION,SCHOOL,COURSE_CODE.,SESSION,MIN_UNITS,MAX_UNITS,COURSE_TITLE.................,...............................................................................................................................................................................................................................................................................,MODE,Link    PUBLISH?,START_TIME,END_TIME,DAYS..,TOTAL_ENR,MODALITY    ASSIGNED_ROOM,TOTAL_ENR,DEPT.OWNER.NAME....................................................................................,CAMPUS,SEATS,Beg Date..,End Date..,DEPARTMENT........................................,.........................
10200,ACAD,ACAD-174,1,2,2,Innovators Forum,,C,Y,17:00,19:50,M,29,IYH212/213,29,Jimmy Iovine and Andre Young Academy,UPC,30,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10202,ACAD,ACAD-176,1,4,4,Rapid Visualization,,C,Y,14:00,16:50,MW,27,IYH107,27,Jimmy Iovine and Andre Young Academy,UPC,30,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10221,ACAD,ACAD-177,1,2,2,Digital Toolbox for Design,,C,Y,17:00,19:50,W,34,IYH210,34,Jimmy Iovine and Andre Young Academy,UPC,40,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10204,ACAD,ACAD-178,1,2,2,Digital Toolbox: Motion Graph,ics,C,N,9:00,11:50,T,0,,0,Jimmy Iovine and Andre Young Academy,UPC,1,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10215,ACAD,ACAD-178,648,2,2,Digital Toolbox: Motion Graph,ics,C,Y,8:00,9:50,MW,34,IYH210,34,Jimmy Iovine and Andre Young Academy,UPC,40,3/9/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10203,ACAD,ACAD-180,1,2,2,Digital Toolbox: Sound and Au,dio,C,N,9:00,11:50,H,0,,0,Jimmy Iovine and Andre Young Academy,UPC,1,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10213,ACAD,ACAD-180,508,2,2,Digital Toolbox: Sound and Au,dio,C,Y,9:00,11:50,TH,32,IYH210,32,Jimmy Iovine and Andre Young Academy,UPC,40,1/13/2020,3/2/2020,"Arts, Technology and the Business of Innovation",
10201,ACAD,ACAD-181,1,4,4,Disruptive Innovation,,C,Y,18:00,20:20,MW,22,IYH211,22,Jimmy Iovine and Andre Young Academy,UPC,34,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10208,ACAD,ACAD-182,1,4,4,Case Studies in Innovation,,C,Y,9:30,11:50,MW,29,IYH211,29,Jimmy Iovine and Andre Young Academy,UPC,30,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10237,ACAD,ACAD-188,508,2,2,Digital Toolbox: Modeling Pro,ducts I,C,Y,18:00,19:50,TH,27,IYH210,27,Jimmy Iovine and Andre Young Academy,UPC,34,1/13/2020,3/2/2020,"Arts, Technology and the Business of Innovation",
10234,ACAD,ACAD-188,1,2,2,Digital Toolbox: Modeling Pro,ducts I,C,N,18:00,19:50,TH,0,,0,Jimmy Iovine and Andre Young Academy,UPC,30,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10235,ACAD,ACAD-189,1,2,2,Digital Toolbox: Modeling Pro,ducts II,C,N,18:00,19:50,TH,0,,0,Jimmy Iovine and Andre Young Academy,UPC,30,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
