SECTION,SCHOOL,COURSE_CODE.,SESSION,MIN_UNITS,MAX_UNITS,COURSE_TITLE................................................................................................................................................................................................................................................................................................,MODE,Link    PUBLISH?,START_TIME,END_TIME,DAYS..,TOTAL_ENR,MODALITY    ASSIGNED_ROOM,TOTAL_ENR,DEPT.OWNER.NAME...................................,.................................................,CAMPUS,SEATS,Beg Date..,End Date..,DEPARTMENT.................................................................
10202,ACAD,ACAD-419,51,2,2,Professional Internship,C,Y,TBA,TBA,,1,ONLINE,1,Jimmy Iovine and Andre Young Academy,,UPC,1,7/1/2020,8/11/2020,"Arts, Technology and the Business of Innovation"
10200,ACAD,ACAD-419,59,2,2,Professional Internship,C,Y,TBA,TBA,,1,ONLINE,1,Jimmy Iovine and Andre Young Academy,,UPC,1,5/20/2020,8/11/2020,"Arts, Technology and the Business of Innovation"
10201,ACAD,ACAD-490,51,1,6,Directed Research,C,Y,TBA,TBA,,0,ONLINE,0,Jimmy Iovine and Andre Young Academy,,UPC,1,7/1/2020,8/11/2020,"Arts, Technology and the Business of Innovation"
10230,ACAD,ACAD-499,552,2,2,Special Topics,C,N,TBA,TBA,,1,OFFICE,1,Jimmy Iovine and Andre Young Academy,,OFC,20,5/17/2020,5/27/2020,"Arts, Technology and the Business of Innovation"
10249,ACAD,ACAD-590,59,1,3,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Jimmy Iovine and Andre Young Academy,,UPC,20,5/20/2020,8/11/2020,"Arts, Technology and the Business of Innovation"
10248,ACAD,ACAD-590,59,1,3,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Jimmy Iovine and Andre Young Academy,,UPC,20,5/20/2020,8/11/2020,"Arts, Technology and the Business of Innovation"
34112,ACAD,IDSN-545,68,2,2,Integrative Project,C,Y,19:30,20:50,H,20,ONLINE,20,Jimmy Iovine and Andre Young Academy,,OFC,30,5/18/2020,8/8/2020,"Integrated Design, Business and Technology"
34167,ACAD,IDSN-577,68,3,3,Finance for Entrepreneurs,C,Y,18:30,21:35,T,22,ONLINE,22,Jimmy Iovine and Andre Young Academy,,OFC,22,5/18/2020,8/8/2020,"Integrated Design, Business and Technology"
34181,ACAD,IDSN-590,68,1,3,Directed Research,C,Y,TBA,TBA,,3,ONLINE,3,Jimmy Iovine and Andre Young Academy,,OFC,3,5/18/2020,8/8/2020,"Integrated Design, Business and Technology"
34185,ACAD,IDSN-590,68,1,3,Directed Research,C,Y,TBA,TBA,,0,ONLINE,0,Jimmy Iovine and Andre Young Academy,,OFC,5,5/18/2020,8/8/2020,"Integrated Design, Business and Technology"
