SECTION,SCHOOL,COURSE_CODE.,SESSION,MIN_UNITS,MAX_UNITS,COURSE_TITLE..............................................................................................................................................................................................................................................................................................,..    MODE,Link    PUBLISH?,START_TIME,END_TIME,DAYS..,TOTAL_ENR,MODALITY,ASSIGNED_ROOM,TOTAL_ENR,DEPT.OWNER.NAME....................................................................................,CAMPUS,SEATS,Beg Date..,End Date..,DEPARTMENT.................................................................
10200,ACAD,ACAD-174,1,2,2,Innovators Forum,C,Y,17:00,19:50,M,32,B,IYH212/213,32,Jimmy Iovine and Andre Young Academy,UPC,32,8/17/2020,11/13/2020,"Arts, Technology and the Business of Innovation"
10202,ACAD,ACAD-176,1,4,4,Rapid Visualization,C,Y,14:00,16:20,MW,32,B,IYH110,32,Jimmy Iovine and Andre Young Academy,UPC,32,8/17/2020,11/13/2020,"Arts, Technology and the Business of Innovation"
10242,ACAD,ACAD-176,60,4,4,Rapid Visualization,C,Y,17:00,19:50,TH,24,A,ONLINE,24,Jimmy Iovine and Andre Young Academy,UPC,34,8/17/2020,11/13/2020,"Arts, Technology and the Business of Innovation"
10243,ACAD,ACAD-177,1,2,2,Digital Toolbox for Design,C,Y,17:30,19:50,W,34,B,IYH212/213,34,Jimmy Iovine and Andre Young Academy,UPC,40,8/17/2020,11/13/2020,"Arts, Technology and the Business of Innovation"
10209,ACAD,ACAD-177,508,2,2,Digital Toolbox for Design,C,Y,8:00,9:50,TH,30,B,IYH210/211,30,Jimmy Iovine and Andre Young Academy,UPC,30,8/17/2020,9/28/2020,"Arts, Technology and the Business of Innovation"
10222,ACAD,ACAD-180,648,2,2,Digital Toolbox: Sound and Audio,C,Y,8:00,9:50,TH,29,B,IYH210,29,Jimmy Iovine and Andre Young Academy,UPC,31,10/5/2020,11/16/2020,"Arts, Technology and the Business of Innovation"
10207,ACAD,ACAD-181,1,4,4,Disruptive Innovation,C,Y,10:00,11:50,TH,32,B,IYH210/211,32,Jimmy Iovine and Andre Young Academy,UPC,32,8/17/2020,11/13/2020,"Arts, Technology and the Business of Innovation"
10204,ACAD,ACAD-182,1,4,4,Case Studies in Innovation,C,Y,18:00,19:50,MW,18,B,IYH110,18,Jimmy Iovine and Andre Young Academy,UPC,28,8/17/2020,11/13/2020,"Arts, Technology and the Business of Innovation"
10212,ACAD,ACAD-187,1,2,2,Digital Toolbox: 3D Design,C,N,8:00,9:50,THF,0,,,0,Jimmy Iovine and Andre Young Academy,UPC,28,8/17/2020,11/13/2020,"Arts, Technology and the Business of Innovation"
10201,ACAD,ACAD-188,508,2,2,Digital Toolbox: Modeling Products I,C,Y,18:00,19:50,MW,25,A,ONLINE,25,Jimmy Iovine and Andre Young Academy,UPC,42,8/17/2020,9/28/2020,"Arts, Technology and the Business of Innovation"
