"SECTION","SCHOOL","COURSE_CODE","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","Link","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","DEPTOWNERNAME","DEPARTMENT","origin"
"10200","ACAD","ACAD-174","60","2","2","Innovators Forum","C ","","Y ","17:00","19:50","M ","35","A ","Thomas, Doug","ONLINE ","35","Leaders in diverse disciplines, industries and the arts present and discuss problems facing society and critique real-world projects that challenge the concept of innovation.","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10202","ACAD","ACAD-176","1","4","4","Rapid Visualization","C","","Y","17:00","19:50","MW","24","","Child, Stephen, C. Bell, Joel","IYH107","24","Techniques, methods, concepts, tools, and materials that are used to quickly visualize and communicate ideas and develop problem-solving skills.","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10221","ACAD","ACAD-177","60","2","2","Digital Toolbox for Design","C ","","Y ","17:00","19:00","W ","32","A ","Benson, Estevan ","ONLINE ","32","Basics of industry-standard creative, analytical and presentation software. Applications include design, illustration, presentation and publishing. ","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10215","ACAD","ACAD-178","648","2","2","Digital Toolbox: Motion Graphics","C ","","Y ","8:00","9:50","MW","34","A ","Siegel, Aaron ","ONLINE ","34","Basics of industry standard software for motion graphics, visual effects, animation design, generative art and interactive visual experiences.","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10218","ACAD","ACAD-178","60","2","2","Digital Toolbox: Motion Graphics","C ","","Y ","10:30","11:50","MW","26","A ","Siegel, Aaron ","ONLINE ","26","Basics of industry standard software for motion graphics, visual effects, animation design, generative art and interactive visual experiences.","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10203","ACAD","ACAD-180","1","2","2","Digital Toolbox: Sound and Audio","C ","","N ","9:00","11:50","H ","0","",""," ","0","Basics of industry-standard hardware and software used for designing, creating, processingand distributing sound and audio. ","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10201","ACAD","ACAD-181","1","4","4","Disruptive Innovation ","C ","","Y ","18:00","19:50","MW","28","B ","Armanini, Scott ","IYH211 ","28","Critical approaches to social and cultural changes stemming from disruptive innovations in the arts, science, technology, communications, new media, politics and business. Open only to Arts, Technology and the Business of Innovation students.","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10208","ACAD","ACAD-182","1","4","4","Case Studies in Innovation","C ","","Y ","10:00","11:50","MW","32","","More, Phil","IYH211 ","32","Employing a case-study methodology, students analyze the artistic, technological, and entrepreneurial factors and address the conceptual, ethical, and logistical issues that lead to disruptive innovation.","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10213","ACAD","ACAD-187","508","2","2","Digital Toolbox: 3D Design","C ","","Y ","8:00","9:50","MW","27","B ","Swain, Chris","IYH210 ","27","Basics of industry standard software for modeling and rendering 3D materials, objects and lighting. Includes instruction in pipelines for 3D assets.","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10237","ACAD","ACAD-188","508","2","2","Digital Toolbox: Modeling Products I","C ","","Y ","18:00","19:50","TH","23","A ","Hughes, Adam","ONLINE ","23","Tools and techniques specific to CAD design and design improvements, focused on the ideation and development new products.","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10235","ACAD","ACAD-189","1","2","2","Digital Toolbox: Modeling Products II ","C ","","N ","TBA ","TBA ","","0","","","OFFICE ","0","An investigation of the tools and techniques specific to intermediate CAD design and design improvements, focused on the ideation and development new products. ","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10238","ACAD","ACAD-189","648","2","2","Digital Toolbox: Modeling Products II ","C ","","Y ","18:00","19:50","TH","14","A ","Hughes, Adam","ONLINE ","14","An investigation of the tools and techniques specific to intermediate CAD design and design improvements, focused on the ideation and development new products. ","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10240","ACAD","ACAD-207","1","4","4","Multimedia for Designers and Entrepreneurs I","C ","","Y ","14:00","16:50","MW","20","B ","Becker, Carsten ","IYH210 ","20","Basics of industry-standard hardware and software specific to creating effective and compelling multimedia experiences. ","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10242","ACAD","ACAD-240","1","4","4","Materials: Denim to Nanotubes ","C ","","Y ","12:00","13:50","TH","23","","Hughes, Adam","IYH112 ","23","Covers the fundamentals of materials science and introduce students to the principles of designing with specific materials in mind. ","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10232","ACAD","ACAD-245","1","4","4","Product Design I","C","","Y","18:00","20:50","TH","15","","Krohn, LisaDelgatty, Grant","IYH112","15","An introductory course in learning how to design physical products, including the processes for determining consumer need, market opportunity and competitive product analysis.","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10236","ACAD","ACAD-245","1","4","4","Product Design I","C","","Y","18:00","20:50","TH","15","","Delgatty, GrantKrohn, Lisa","IYH110","15","An introductory course in learning how to design physical products, including the processes for determining consumer need, market opportunity and competitive product analysis.","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10210","ACAD","ACAD-255","60","4","4","Advancing Journalism with Human-Centered Design","C","","Y","18:00","19:50","TH","7","A","Davis, Laura Manos, Matthew","ONLINE","7","Employing a human-centered design framework, students research and develop novel solutions to experience, collaboration and culture issues that pervade newsrooms worldwide.","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10244","ACAD","ACAD-260","60","4","4","Introduction to Healthcare Innovation","CL","","Y","12:00","13:50","MW","5","A","Lulejian, Armine Armanini, Scott","ONLINE","5","Introductions to various health innovations, including pathways, technology, techniques and outcomes. A framework for innovation in healthcare and overview of tools for health innovators.","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10209","ACAD","ACAD-275","60","4","4","Dev I ","C ","","Y ","14:00","16:50","TH","28","A ","Dent, Patrick, H","ONLINE ","28","Web page design and creation, web objects, scripting and interactivity. Includes developing skills to design and build interactive websites.","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10211","ACAD","ACAD-276","60","4","4","Dev II","C ","","Y ","17:00","19:50","TH","11","A ","Dent, Patrick, H","ONLINE ","11","Fundamentals of server-side scripting and web templates. Design and creation of data structures and databases. Visualize analytics and data.","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10229","ACAD","ACAD-277","1","4","4","Dev III: Advanced Topics","C","","Y","15:00","16:50","TH","12","B","Crowley, Michael, GregoryJones, Trent","IYH107","12","An accelerated approach to object-oriented programming, including foundations of applications for devices, with a focus on user interface design.","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10231","ACAD","ACAD-280","1","4","4","Designing for Digital Experiences ","C ","","Y ","15:00","16:50","MW","24","B ","Siegel, Aaron ","IYH112 ","24","Designing elegant and powerful interfaces and experiences for the ways people interact with data, devices, systems and digital environments.","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10246","ACAD","ACAD-281","1","4","4","Designing for Live Experiences","CL","","Y ","17:30","19:20","MW","16","B ","Wolter, Davina","IYH112 ","16","Experience-based solutions for the design of branded environments and the development of prototypes that are entertaining, informational and inspirational. ","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10206","ACAD","ACAD-307","1","4","4","Multimedia for Designers and Entrepreneurs II","C","","Y","9:00 18:00","10:50 19:50","HF","5","B","Becker, Carsten","","5","Designing effective and compelling multimedia experiences, including through the application of intermediate tools and techniques related to state-of-the-art creative hardware and software.","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10233","ACAD","ACAD-309","60","4","4","Dreams and Madness: The Art of Japan's Golden Age of Animation","C","","Y","15:30","18:50","W","90","A","Thomas, Doug","ONLINE","90","An in-depth look at the art, politics, and cultural impact ofseveral Japanese filmmakers including Isao Takahata, Hayao Miyazaki, Satoshi Kon, Mamoru Hosoda and Makoto Shinkai.","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10239","ACAD","ACAD-324","1","4","4","The Practice of Design: Ideation to Innovation","C ","","Y ","14:00","16:50","TH","30","B ","Wolter, Davina","IYH212/213 ","30","History and application of proven collaborative design processes and methodologies as they relate to ideation and innovation. ","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10205","ACAD","ACAD-345","1","4","4","Product Design II ","C ","","Y ","14:00","16:50","TH","13","","Delgatty, Grant ","IYH111 ","13","A thorough look into developing a feasible consumer product through implementing all aspects of the R&D process, including consumer insights, competitive analysis, ideation and manufacturability. ","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10212","ACAD","ACAD-350","1","2","2","International Experience","C ","","N ","TBA ","TBA ","","0","",""," ","0","International study tour providing in-depth and field-based knowledge in design, technology and/or business. Sites selected from the worlds most exciting established and emerging innovation hubs. ","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10214","ACAD","ACAD-360","60","4","4","Design Strategy: Problem Solving for Organizations","C ","","Y ","10:00","11:50","MW","30","A ","Manos, Matthew","ONLINE ","30","A professional, collaborative and multidisciplinary consulting approach to diagnosing problems and applying design-based solutions on behalf of organizations.","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10224","ACAD","ACAD-376","1","4","4","Discerning and Making I: Concept and Feasibility","C ","","N ","15:00","16:50","TH","0","",""," ","0","Practicum through which student teams serve as design strategists for industry collaborators, and learn advanced methods and processes to solve problems in collaborative, field-specific environments. ","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10243","ACAD","ACAD-377","1","4","4","Discerning and Making II: Creation and Implementation","C","","Y","15:00","16:50","MW","20","B","Manos, Matthew Child, Stephen, C.","IYH210","20","Continuation of ACAD 376.","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10217","ACAD","ACAD-419","60","2","2","Professional Internship ","C ","","Y ","TBA ","TBA ","","3","A ","Dent, Patrick, H","ONLINE ","3","An experiential/academic opportunity in an arts, technology and business related facility. Written analysis, evaluation, and working internship.","Jimmy Iovine and Andre Young Academy","ACAD","20211"
"10223","FA","ACAD-445","1","4","4","Product Design III","C ","","N ","TBA ","TBA ","","0","","","OFFICE ","0","An understanding of bringing a product to market through the process of determining consumer pain points, competitive analysis, marketability, feasibility, and the supporting business model.","Roski School of Art and Design","ACAD","20211"
