SECTION    ,SCHOOL    ,COURSE_CODE.    ,SESSION    ,MIN_UNITS    ,MAX_UNITS    ,COURSE_TITLE................................................................................................................................................................................................................................................................................................    ,MODE    ,Link    ,PUBLISH?    ,START_TIME    ,END_TIME    ,DAYS..    ,TOTAL_ENR    ,MODALITY    ,INSTRUCTOR_NAME.........................    ,ASSIGNED_ROOM    ,TOTAL_ENR    ,COURSE_DESCRIPTION..........................................................................................................................................................................................................................................................................................    ,DEPT.OWNER.NAME....................................................................................
,,,,,,,,,,,,,,,,,,,
10229,ACAD      ,ACAD-419        ,56,2,2,Professional Internship                                                                                                                                                                                                                                                                                         ,C       ,        ,Y           ,TBA           ,TBA         ,          ,1,            ,"Dent, Patrick, H                            ",OFFICE           ,1,"An experiential/academic opportunity in an arts, technology and business related facility. Written analysis, evaluation, and working internship.                                                                                                                                                                ",Jimmy Iovine and Andre Young Academy
10249,ACAD      ,ACAD-590        ,59,1,3,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,0,            ,"Crowley, Michael, Gregory                   ",OFFICE           ,0,Research leading to graduate degree. Maximum units which may be applied to degree determined by department.                                                                                                                                                                                                     ,Jimmy Iovine and Andre Young Academy
10248,ACAD      ,ACAD-590        ,59,1,3,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,0,            ,"Crowley, Michael, Gregory                   ",OFFICE           ,0,Research leading to graduate degree. Maximum units which may be applied to degree determined by department.                                                                                                                                                                                                     ,Jimmy Iovine and Andre Young Academy
34055,ACAD      ,IDSN-505        ,551,1,1,Intensive                                                                                                                                                                                                                                                                                                       ,C       ,        ,Y           ,19:00,21:30,M         ,14,A           ,"Rodriguez, Leon                             ",ONLINE           ,14,"Optional short-term, primarily residential, learning experience paired with an event/activity. Intensive experience aligns with and extends the cross-disciplinary nature of the program.                                                                                                                       ",Jimmy Iovine and Andre Young Academy
34060,ACAD      ,IDSN-510        ,75,2,2,Integrative Practices Residential                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,9:00,17:00,MHFSU     ,21,A           ,"Checchi, Robert                             ",ONLINE           ,21,"One-week campus residential. Introduction to program themes, content, concepts, theories and processes. Opportunity to build skills and meet cohort, with an emphasis on team building.                                                                                                                         ",Jimmy Iovine and Andre Young Academy
34062,ACAD      ,IDSN-515        ,549,2,2,Professional Practices Residential                                                                                                                                                                                                                                                                              ,C       ,        ,Y           ,9:00,17:00,MHFSU     ,20,A           ,"Checchi, Robert                             ",ONLINE           ,20,"One-week off-campus residential. Applied, intensive workshop format focused on solutions for real-world problems with input from industry experts.                                                                                                                                                              ",Jimmy Iovine and Andre Young Academy
34073,ACAD      ,IDSN-520        ,68,3,3,Design Essentials                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,17:30,19:05,W         ,24,A           ,"Rodriguez, Leon                             ",ONLINE           ,24,"Overview of design language, process and product. Build fluency in applying core visual principles and design-based problem-solving techniques. Explore historical and contemporary design issues.                                                                                                              ",Jimmy Iovine and Andre Young Academy
34083,ACAD      ,IDSN-525        ,68,3,3,Business Essentials                                                                                                                                                                                                                                                                                             ,C       ,        ,Y           ,19:30,21:05,H         ,24,A           ,"Pranam, Aswin                               ",ONLINE           ,24,Overview of general business and management concepts and techniques that builds theoretical and analytical fluency and identifies and examines leadership and managerial challenges.                                                                                                                            ,Jimmy Iovine and Andre Young Academy
34093,ACAD      ,IDSN-530        ,68,3,3,Technology Essentials                                                                                                                                                                                                                                                                                           ,C       ,        ,Y           ,19:30,21:05,W         ,12,A           ,"Crowley, Michael, Gregory                   ",ONLINE           ,12,"Overview of core information technology concepts, methods, and frameworks. Develop aptitude in using tools, applications and systems; learn basic programming languages and methodologies.                                                                                                                      ",Jimmy Iovine and Andre Young Academy
34097,ACAD      ,IDSN-533        ,68,2,2,Visual Software Development                                                                                                                                                                                                                                                                                     ,C       ,        ,Y           ,19:30,21:35,H         ,15,A           ,"Swain, Chris                                ",ONLINE           ,15,Introduction to no-code developer tools; development of a business or creative concept from the initial idea to a functioning minimum viable product.                                                                                                                                                           ,Jimmy Iovine and Andre Young Academy
34103,ACAD      ,IDSN-540        ,68,4,4,Processes and Perspectives                                                                                                                                                                                                                                                                                      ,C       ,        ,Y           ,17:15,19:20,T         ,21,A           ,"Swain, Chris                                ",ONLINE           ,21,"Discipline-specific, cross-disciplinary and shared approaches to products, services, projects, systems, organizational development. Topics include creative and user-focused perspectives, feasibility analytics, lean startup techniques.                                                                      ",Jimmy Iovine and Andre Young Academy
34113,ACAD      ,IDSN-545        ,68,2,2,Integrative Project                                                                                                                                                                                                                                                                                             ,C       ,        ,Y           ,17:30,18:50,H         ,37,A           ,"Swain, Chris                                ",ONLINE           ,37,"Faculty-mentored project. Demonstrate individual and simultaneous skills and competency across fields and within cross-functional, cross-disciplinary teams.                                                                                                                                                    ",Jimmy Iovine and Andre Young Academy
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Tan, Sue-Tze",,,,
