SECTION,SCHOOL,COURSE_CODE,SESSION,MIN_UNITS,MAX_UNITS,COURSE_TITLE,MODE,Link,PUBLISH?,START_TIME,END_TIME,DAYS,TOTAL_ENR,MODALITY,INSTRUCTOR_NAME,ASSIGNED_ROOM,TOTAL_ENR,COURSE_DESCRIPTION
,,,,,,,,,,,,,,,,,,
14271,ACCT,ACCT-561T,378,3,3,Income Tax of Corporations and Their Shareholders,C,,Y,17:30,19:00,T,7,A,"Kling, Greg",ONLINE,7,"Concepts and principles governing the taxation of corporations and their shareholders; the effect of taxes on corporate formation, capital structure, distributions, and liquidations. Recommended preparation: ACCT-550T or ACCT-560T or LAW-600."
14281,ACCT,ACCT-568T,378,3,3,International Taxation,C,,Y,17:30,19:00,H,10,A,"Bader, Paul",ONLINE,10,Taxation of cross-border transactions of U.S. citizens and
,,,,,,,,,,,,,,,,,,corporations and of U.S. source income of foreign persons and
,,,,,,,,,,,,,,,,,,corporations; planning for organization of international
,,,,,,,,,,,,,,,,,,operations under the tax laws.
21701,ANSC,CMGT-500,169,4,4,Managing Communication,C,,Y,TBA,TBA,,13,A,,ONLINE,13,"Production and distribution of information within large organizations; information networks, organization structure, control and decision-making functions. Resources necessary for effective organizational communication systems."
21715,ANSC,CMGT-508,169,4,4,Communicating Strategy and Change,C,,Y,TBA,TBA,,37,A,,ONLINE,37,"Examination of role of communication in developing and implementing business strategy; critical assessment and practice with models, tools, and techniques for communicating change."
21719,ANSC,CMGT-510,169,4,4,"Communication, Values, Attitudes and Behavior",C,,Y,TBA,TBA,,50,A,,ONLINE,50,Theory and research on value and attitude formation and change; consequences for communication and behavior.
21753,ANSC,CMGT-540,169,4,4,Uses of Communication Research,C,,Y,TBA,TBA,,8,A,,ONLINE,8,"Applications of both data and interpretation in communications management. Topics include: audience ratings, surveys, experimental tests of programs and campaigns, formative evaluation, secondary data sources."
21751,ANSC,CMGT-541,59,4,4,Integrated Communication Strategies,C,,Y,14:00,18:10,H,12,,"Bracero, Rafael",ANN406,12,Communication strategies for product marketing and advertising; communication's role in developing domestic and international marketplaces; practical applications of persuasion theory.
21761,ANSC,CMGT-546,50,4,4,Sports Media and Society,C,,Y,18:00,22:10,MW,18,A,"Durbin, Daniel, T",ONLINE,18,"History and evolution of sports media industry; traditional, new"
,,,,,,,,,,,,,,,,,,and alternative sports media; globalization of sports; sports
,,,,,,,,,,,,,,,,,,promotions and personalities.
21772,ANSC,CMGT-555,169,4,4,Online Marketing Communication Development and Analysis,C,,Y,TBA,TBA,,42,A,,ONLINE,42,"Analysis and development of online communication and marketing campaigns; exploration of current Internet best practices in social media, SEM, privacy, location-based marketing, and online measurement."
21773,ANSC,CMGT-556,59,4,4,Global Marketing Communication,C,,Y,18:00,22:10,T,20,A,"Amiune, Marcela, Victoria",ONLINE,20,Communication strategies in a global marketing environment; analysis of global – local challenges and opportunities; effective global integrated communication to create and sustain competitive advantage
21802,ANSC,CMGT-584,59,4,4,Communication and the Multicultural Marketplace,C,,Y,18:00,22:10,M,11,,"Turndorf, Ariela, Nerubay",ANN210,11,"Popular culture and marketing communication; race, gender, sexual"
,,,,,,,,,,,,,,,,,,orientation and consumer culture; consumption patterns and
,,,,,,,,,,,,,,,,,,"identity, loyalty and self-actualization; cultural marketing"
,,,,,,,,,,,,,,,,,,campaigns and socio-political conflict.
21810,ANSC,CMGT-589,169,4,4,"Storytelling, Culture and Experiential Communication",C,,Y,TBA,TBA,,46,A,,ONLINE,46,"How to communicate through storytelling in contemporary culture. Strategic story development for brands, for self-branding, and for social impact. Story creation utilizes narrative theories and workshop-style participatory activities."
21812,ANSC,CMGT-590,51,1,12,Directed Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Research leading to the master's degree. Maximum units which may
,,,,,,,,,,,,,,,,,,be applied to the degree to be determined by the school. Graded
,,,,,,,,,,,,,,,,,,CR/NC.
21816,ANSC,CMGT-590,59,1,12,Directed Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Research leading to the master's degree. Maximum units which may
,,,,,,,,,,,,,,,,,,be applied to the degree to be determined by the school. Graded
,,,,,,,,,,,,,,,,,,CR/NC.
21811,ANSC,CMGT-590,51,1,12,Directed Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Research leading to the master's degree. Maximum units which may
,,,,,,,,,,,,,,,,,,be applied to the degree to be determined by the school. Graded
,,,,,,,,,,,,,,,,,,CR/NC.
21815,ANSC,CMGT-590,59,1,12,Directed Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Research leading to the master's degree. Maximum units which may
,,,,,,,,,,,,,,,,,,be applied to the degree to be determined by the school. Graded
,,,,,,,,,,,,,,,,,,CR/NC.
21814,ANSC,CMGT-590,59,1,12,Directed Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Research leading to the master's degree. Maximum units which may
,,,,,,,,,,,,,,,,,,be applied to the degree to be determined by the school. Graded
,,,,,,,,,,,,,,,,,,CR/NC.
21819,ANSC,CMGT-591,51,1,1,Communication Internship,C,,Y,TBA,TBA,,0,,,OFFICE,0,Field experience in applying communication principles to settings
,,,,,,,,,,,,,,,,,,"in organizations, campaigns, or other contexts; analysis and"
,,,,,,,,,,,,,,,,,,assessment of issues and problems. Graded CR/NC.
21828,ANSC,CMGT-591,59,2,2,Communication Internship,C,,Y,TBA,TBA,,0,,,OFFICE,0,Field experience in applying communication principles to settings
,,,,,,,,,,,,,,,,,,"in organizations, campaigns, or other contexts; analysis and"
,,,,,,,,,,,,,,,,,,assessment of issues and problems. Graded CR/NC.
21823,ANSC,CMGT-591,59,1,1,Communication Internship,C,,Y,TBA,TBA,,0,,"Baroffio, Daniela",OFFICE,0,Field experience in applying communication principles to settings
,,,,,,,,,,,,,,,,,,"in organizations, campaigns, or other contexts; analysis and"
,,,,,,,,,,,,,,,,,,assessment of issues and problems. Graded CR/NC.
21821,ANSC,CMGT-591,51,2,2,Communication Internship,C,,Y,TBA,TBA,,0,,,OFFICE,0,Field experience in applying communication principles to settings
,,,,,,,,,,,,,,,,,,"in organizations, campaigns, or other contexts; analysis and"
,,,,,,,,,,,,,,,,,,assessment of issues and problems. Graded CR/NC.
21838,ANSC,CMGT-597A,59,2,2,Communication Research Practicum,C,,Y,TBA,TBA,,1,,"Lee, Ben",OFFICE,1,Students design and produce an original project appropriate for their emphasis area within the Master of Communication degree. Open to Master of Communication Management students only. Prerequisites: CMGT 501 and CMGT 540. Duplicates credit in former CMGT 597.
21837,ANSC,CMGT-597A,169,2,2,Communication Research Practicum,C,,Y,TBA,TBA,,7,A,,ONLINE,7,Students design and produce an original project appropriate for their emphasis area within the Master of Communication degree. Open to Master of Communication Management students only. Prerequisites: CMGT 501 and CMGT 540. Duplicates credit in former CMGT 597.
21842,ANSC,CMGT-597B,169,2,2,Communication Research Practicum,C,,Y,TBA,TBA,,7,A,,ONLINE,7,Students design and produce an original project appropriate for their emphasis area within the Master of Communication degree. Open to Master of Communication Management students only. (Duplicates credit in former CMGT 597).
21843,ANSC,CMGT-599,59,4,4,Special Topics,C,,Y,18:00,22:10,M,1,,"Settipane, Aaron, Damien",ANN406,1,
20387,ANSC,COMM-205,51,2,2,Communication Practicum,C,,Y,TBA,TBA,,0,A,,ONLINE,0,Students address communication issues in a field setting. They will evaluate communication practices using appropriate methodology. Projects are jointly evaluated by internship supervisor and professor. Sophomore standing. Graded: CR/NC. Not for major credit for Communication majors.
20386,ANSC,COMM-205,51,1,1,Communication Practicum,C,,Y,TBA,TBA,,0,A,,ONLINE,0,Students address communication issues in a field setting. They will evaluate communication practices using appropriate methodology. Projects are jointly evaluated by internship supervisor and professor. Sophomore standing. Graded: CR/NC. Not for major credit for Communication majors.
20402,ANSC,COMM-209,51,4,4,Communication and Media Economics,CD,,Y,9:30,12:20,MWF,6,,"Brichta, Maximilian, Pietroforte",ANN209,6,"Economic and political economic principles for the analysis of communication and media industries including broadcasting, newspapers, motion pictures, music, video games, advertising and public relations."
20465,ANSC,COMM-302,50,4,4,Persuasion,C,,Y,13:00,15:50,MWF,3,,,ANN309,3,Theories and research in social influence; strategies and tactics
,,,,,,,,,,,,,,,,,,"of persuasive communications in such settings as politics, public"
,,,,,,,,,,,,,,,,,,"relations, advertising, business."
,,,,,,,,,,,,,,,,,,
20477,ANSC,COMM-305,50,4,4,Understanding Social Science Research,C,,Y,9:30,12:20,MWF,17,A,"Phelps, Ashley, Leone Luth",ONLINE,17,Students learn to be consumers rather than creators of social science research. Examines the challenges and opportunities of communicating research through mass media.
20496,ANSC,COMM-311,50,4,4,Communication and Publics,CD,,Y,9:30,13:40,TH,4,,"Lyu, Junyi",ANN209,4,"Forms of civic life; opportunities and obstacles in forming, participating in, and disrupting community; issues of knowledge, power, identity; theories/methods of rhetorical analysis and production."
20510,ANSC,COMM-322,51,4,4,Argumentation and Advocacy,C,,Y,9:30,13:40,TH,2,,"Perrimon, Pamela, Camille",ANN309,2,Basic argumentation theory including analysis.  Research and
,,,,,,,,,,,,,,,,,,"evidence, case construction, refutation; discursive and visual"
,,,,,,,,,,,,,,,,,,"argument; diverse fields of advocacy including law, politics,"
,,,,,,,,,,,,,,,,,,"organizations, interpersonal relations."
,,,,,,,,,,,,,,,,,,
20680,ANSC,COMM-465,51,4,4,Gender in Media Industries and Products,C,,Y,13:00,15:50,MWF,4,A,"Lanz Garcia, Paulina",ONLINE,4,"Examination of the effect of gender stratification in media industries upon the cultural products they create, especially gender and gender/race role portrayals."
20707,ANSC,COMM-490,59,1,8,Directed Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Individual research and readings. Not available for graduatecredit. Available to juniors and seniors only.
20705,ANSC,COMM-490,51,1,8,Directed Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Individual research and readings. Not available for graduatecredit. Available to juniors and seniors only.
20740,ANSC,COMM-494,59,2,4,Research Practicum,C,,Y,TBA,TBA,,0,,,OFFICE,0,"Students gain research experience in the design, implementation,"
,,,,,,,,,,,,,,,,,,"analysis, and reporting of communication research.  Students serve"
,,,,,,,,,,,,,,,,,,as research assistants to faculty members.  Not available for
,,,,,,,,,,,,,,,,,,graduate credit.
20738,ANSC,COMM-494,51,2,4,Research Practicum,C,,Y,TBA,TBA,,0,,,OFFICE,0,"Students gain research experience in the design, implementation,"
,,,,,,,,,,,,,,,,,,"analysis, and reporting of communication research.  Students serve"
,,,,,,,,,,,,,,,,,,as research assistants to faculty members.  Not available for
,,,,,,,,,,,,,,,,,,graduate credit.
20864,ANSC,COMM-590,51,1,12,Directed Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Research leading to the master's degree. Maximum units which may be applied to the degree to be determined by the school. Graded CR/NC.
20866,ANSC,COMM-590,59,1,12,Directed Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Research leading to the master's degree. Maximum units which may be applied to the degree to be determined by the school. Graded CR/NC.
20961,ANSC,COMM-675,59,1,4,Independent Study,C,,Y,TBA,TBA,,0,,,OFFICE,0,A supervised course tailored to specific student interests. The professor and student develop a syllabus that permits exploration of advanced or specialized topics. Graded CR/NC.
,,,,,,,,,,,,,,,,,,
20960,ANSC,COMM-675,59,1,4,Independent Study,C,,Y,TBA,TBA,,0,,,OFFICE,0,A supervised course tailored to specific student interests. The professor and student develop a syllabus that permits exploration of advanced or specialized topics. Graded CR/NC.
,,,,,,,,,,,,,,,,,,
20969,ANSC,COMM-790,59,1,12,Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Research leading to the doctorate. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.
20965,ANSC,COMM-790,51,1,12,Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Research leading to the doctorate. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.
20978,ANSC,COMM-794A,51,2,2,Doctoral Dissertation,C,,Y,TBA,TBA,,0,,"Amaya, Hector",OFFICE,0,Credit on acceptance of dissertation. Graded IP/CR/NC.
,,,,,,,,,,,,,,,,,,
20979,ANSC,COMM-794A,59,2,2,Doctoral Dissertation,C,,Y,TBA,TBA,,0,,"Amaya, Hector",OFFICE,0,Credit on acceptance of dissertation. Graded IP/CR/NC.
,,,,,,,,,,,,,,,,,,
20980,ANSC,COMM-794B,51,2,2,Doctoral Dissertation,C,,Y,TBA,TBA,,0,,"Amaya, Hector",OFFICE,0,Credit on acceptance of Dissertation. Graded IP/CR/NC.
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
20981,ANSC,COMM-794B,59,2,2,Doctoral Dissertation,C,,Y,TBA,TBA,,0,,"Amaya, Hector",OFFICE,0,Credit on acceptance of Dissertation. Graded IP/CR/NC.
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
20982,ANSC,COMM-794C,51,2,2,Doctoral Dissertation,C,,Y,TBA,TBA,,0,,"Amaya, Hector",OFFICE,0,Credit on acceptance of Dissertation. Graded IP/CR/NC.
,,,,,,,,,,,,,,,,,,
20983,ANSC,COMM-794C,59,2,2,Doctoral Dissertation,C,,Y,TBA,TBA,,0,,"Amaya, Hector",OFFICE,0,Credit on acceptance of Dissertation. Graded IP/CR/NC.
,,,,,,,,,,,,,,,,,,
20984,ANSC,COMM-794D,51,2,2,Doctoral Dissertation,C,,Y,TBA,TBA,,0,,"Amaya, Hector",OFFICE,0,Credit on acceptance of Dissertation. Graded IP/CR/NC.
,,,,,,,,,,,,,,,,,,
20985,ANSC,COMM-794D,59,2,2,Doctoral Dissertation,C,,Y,TBA,TBA,,0,,"Amaya, Hector",OFFICE,0,Credit on acceptance of Dissertation. Graded IP/CR/NC.
,,,,,,,,,,,,,,,,,,
20987,ANSC,COMM-794Z,59,0,0,Doctoral Dissertation,C,,Y,TBA,TBA,,1,,"Amaya, Hector",OFFICE,1,Credit on acceptance of Dissertation. Graded IP/CR/NC.
,,,,,,,,,,,,,,,,,,
20986,ANSC,COMM-794Z,51,0,0,Doctoral Dissertation,C,,Y,TBA,TBA,,0,,"Amaya, Hector",OFFICE,0,Credit on acceptance of Dissertation. Graded IP/CR/NC.
,,,,,,,,,,,,,,,,,,
20200,ANSC,DMM-500,748,2,2,Principles and Theories of Digital Media Management,C,,Y,TBA,TBA,,10,A,"Itaya, Joseph, James",ONLINE,10,"Explores the digital media environment, its sociohistorical evolution and the impact of digital technologies and media on practices within cultural and business ecosystems."
20205,ANSC,DMM-505,758,2,2,Digital Audience Research and Analysis,C,,Y,TBA,TBA,,9,A,"Emrani, Mahta",ONLINE,9,"Explores research methodologies and digital audience analytics, evaluating online audience needs and wants and focusing on data-driven and ethical decision making."
20210,ANSC,DMM-510,748,2,2,"Digital Media Buying, Measurement and Analytics",C,,Y,TBA,TBA,,21,A,"Jackson, Anika",ONLINE,21,"Examines digital media advertising sales technologies: digital advertising, media buying, digital asset performance measurement and data collection methodologies used for business planning."
20215,ANSC,DMM-515,758,2,2,"Digital Content, Production and Distribution",C,,Y,TBA,TBA,,21,A,,ONLINE,21,"Explores the evolution of digital media content, content categories in digital media, innovations in content production techniques and technologies and the digital distribution revolution."
20220,ANSC,DMM-520,748,2,2,Strategic Digital Media Marketing,C,,Y,TBA,TBA,,13,A,,ONLINE,13,"Case studies and examples to ideate, create and evaluate cutting-edge techniques used to implement long-range strategies for ethical digital media management and marketing."
20221,ANSC,DMM-520,748,2,2,Strategic Digital Media Marketing,C,,Y,TBA,TBA,,10,A,,ONLINE,10,"Case studies and examples to ideate, create and evaluate cutting-edge techniques used to implement long-range strategies for ethical digital media management and marketing."
20226,ANSC,DMM-525,758,2,2,Digital Media Leadership,C,,Y,TBA,TBA,,9,A,"Thompson, Jeffrey",ONLINE,9,"Examines personal leadership principles and practices applicable to digital media, focused on leading within organizations, building diverse, high-performing teams and delivering digital media initiatives."
20225,ANSC,DMM-525,758,2,2,Digital Media Leadership,C,,Y,TBA,TBA,,12,A,"Zheng, Hong",ONLINE,12,"Examines personal leadership principles and practices applicable to digital media, focused on leading within organizations, building diverse, high-performing teams and delivering digital media initiatives."
20231,ANSC,DMM-530,748,2,2,Managing Digital Media Teams and Projects,C,,Y,TBA,TBA,,17,A,"Thompson, Jeffrey",ONLINE,17,Covers the principles and skills needed to manage teams and projects within the digital media environment and achieve organizational goals through strategic planning.
20230,ANSC,DMM-530,748,2,2,Managing Digital Media Teams and Projects,C,,Y,TBA,TBA,,15,A,"Itaya, Joseph, James",ONLINE,15,Covers the principles and skills needed to manage teams and projects within the digital media environment and achieve organizational goals through strategic planning.
20235,ANSC,DMM-535,758,2,2,Digital Content Direction,C,,Y,TBA,TBA,,15,A,"Akira, Styles, Infinite",ONLINE,15,"Covers principles and strategies for directing digital content across platforms to achieve organizational objectives beyond creating awareness, informing or entertaining."
20236,ANSC,DMM-535,758,2,2,Digital Content Direction,C,,Y,TBA,TBA,,17,A,"Akira, Styles, Infinite",ONLINE,17,"Covers principles and strategies for directing digital content across platforms to achieve organizational objectives beyond creating awareness, informing or entertaining."
20251,ANSC,DMM-550,748,2,2,Digital Media Innovation and Entrepreneurship,C,,Y,TBA,TBA,,19,A,"Holiber, Adam, Jay",ONLINE,19,"Covers management of digital media innovation within digital media organizations and new entrepreneurial ventures, and ways for alleviating challenges to equity and diversity."
20250,ANSC,DMM-550,748,2,2,Digital Media Innovation and Entrepreneurship,C,,Y,TBA,TBA,,18,A,"Holiber, Adam, Jay",ONLINE,18,"Covers management of digital media innovation within digital media organizations and new entrepreneurial ventures, and ways for alleviating challenges to equity and diversity."
20255,ANSC,DMM-555,758,2,2,Digital Media Management Capstone,C,,Y,TBA,TBA,,20,A,"Itaya, Joseph, James",ONLINE,20,Students create an innovative idea or initiative that solves a problem or achieves a goal within a digital media organization or business unit.
