"SECTION","SCHOOL","COURSE_CODE","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","Link","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","DEPARTMENT","origin"
"10200","ACAD","ACAD-174","1","2","2","Innovators Forum","C","","Y","17:00","19:50","M","0","","Thomas, Doug","IYH210/211","0","Leaders in diverse disciplines, industries and the arts present and discuss problems facing society and critique real-world projects that challenge the concept of innovation.","ACAD","20233"
"10201","ACAD","ACAD-176","1","4","4","Rapid Visualization","C","","Y","14:00","16:50","TH","0","","Child, Stephen, C.","IYH213","0","Techniques, methods, concepts, tools, and materials that are used to quickly visualize and communicate ideas and develop problem-solving skills.","ACAD","20233"
"10203","ACAD","ACAD-176","1","4","4","Rapid Visualization","C","","Y","14:00","16:50","TH","0","","Siegel, Aaron","IYH111","0","Techniques, methods, concepts, tools, and materials that are used to quickly visualize and communicate ideas and develop problem-solving skills.","ACAD","20233"
"10202","ACAD","ACAD-176","1","4","4","Rapid Visualization","C","","Y","17:00","19:50","MW","0","","Child, Stephen, C.","IYH213","0","Techniques, methods, concepts, tools, and materials that are used to quickly visualize and communicate ideas and develop problem-solving skills.","ACAD","20233"
"10205","ACAD","ACAD-177","1","2","2","Digital Toolbox: Design","C","","Y","9:00","11:50","T","0","","Child, Stephen, C.","IYH211","0","Basics of industry-standard creative, analytical and presentation software. Applications include design, illustration, presentation and publishing.","ACAD","20233"
"10204","ACAD","ACAD-177","1","2","2","Digital Toolbox: Design","C","","Y","9:00","11:50","T","0","","Child, Stephen, C.","IYH210","0","Basics of industry-standard creative, analytical and presentation software. Applications include design, illustration, presentation and publishing.","ACAD","20233"
"10206","ACAD","ACAD-178","1","2","2","Digital Toolbox: Motion Graphics","C","","Y","12:00","13:20","TH","0","","Siegel, Aaron","IYH212","0","Basics of industry standard software for motion graphics, visual effects, animation design, generative art and interactive visual experiences.","ACAD","20233"
"10209","ACAD","ACAD-181","1","4","4","Disruptive Innovation","C","","Y","9:00","10:50","MW","0","","More, Phil","IYH210/211","0","Critical approaches to social and cultural changes stemming from disruptive innovations in the arts, science, technology, communications, new media, politics and business. Open only to Arts, Technology and the Business of Innovation students.","ACAD","20233"
"10211","ACAD","ACAD-182","1","4","4","Case Studies in Innovation","C","","Y","18:00","19:50","MW","0","","","IYH212","0","Employing a case-study methodology, students analyze the artistic, technological, and entrepreneurial factors and address the conceptual, ethical, and logistical issues that lead to disruptive innovation.","ACAD","20233"
"10213","ACAD","ACAD-187","1","2","2","Digital Toolbox: 3D Design","C","","Y","9:00","11:50","H","0","","Dent, Patrick, H","IYH210","0","Basics of industry standard software for modeling and rendering 3D materials, objects and lighting. Includes instruction in pipelines for 3D assets.","ACAD","20233"
"10215","ACAD","ACAD-188","508","2","2","Digital Toolbox: Modeling Products I","C","","Y","14:00","15:50","TH","0","","Hughes, Adam","IYH212","0","Tools and techniques specific to CAD design and design improvements, focused on the ideation and development new products.","ACAD","20233"
"10217","ACAD","ACAD-189","648","2","2","Digital Toolbox: Modeling Products II","C","","Y","14:00","15:50","TH","0","","","IYH212","0","An investigation of the tools and techniques specific to intermediate CAD design and design improvements, focused on the ideation and development new products.","ACAD","20233"
"10223","ACAD","ACAD-207","1","4","4","Designing Narratives, From Word to Interaction","C","","Y","18:00","20:20","MW","0","","","IYH212/213","0","Students conceive and produce persuasive media-based narratives presenting new ideas, products and services. Students develop the requisite media production skills to drive impact through storytelling.","ACAD","20233"
"10225","ACAD","ACAD-217","1","4","4","Extended Reality Design","C","","Y","18:00","20:20","TH","0","","Becker, Carsten","IYH111","0","Students design and develop live immersive experiences in a variety of mediums including AR, VR and small- to large-scale interactive environments.","ACAD","20233"
"10228","ACAD","ACAD-240","1","4","4","Materials: Denim to Nanotubes","C","","Y","18:00","19:50","TH","0","","Hughes, Adam","IYH213","0","Covers the fundamentals of materials science and introduce students to the principles of designing with specific materials in mind.","ACAD","20233"
