"courseID","course_title","id","value","name","full_name","semester","document","school","instructor","section","keyword","goal","color","course_desc","text","department","N.Sections","year","course_level","total_enrolled","all_semesters","all_keywords","all_goals","sustainability_classification","freq"
"ACAD-181","Disruptive Innovation",32,"C","Social Analysis","C - Social Analysis","F23",31,"Jimmy Iovine and Andre Young Academy","More, Phil",10209,"cultural",10,"#DD1367","Disruptive Innovation - Critical approaches to social and cultural changes stemming from disruptive innovations in the arts, science, technology, communications, new media, politics and business. Open only to Arts, Technology and the Business of Innovation students.","disruptive innovation   critical approaches to social and cultural changes stemming from disruptive innovations in the arts  science  technology  communications  new media  politics and business  open only to arts  technology and the business of innovation students ","ACAD",1,"AY24","undergrad lower division",0,"F20, SP21, F21, SP22, F22, SP23, F23","technology,innovation,cultural,politics,business,innovations","8,9,10,16","SDG-Related",1
"ACAD-181","Disruptive Innovation",32,"C","Social Analysis","C - Social Analysis","F23",31,"Jimmy Iovine and Andre Young Academy","More, Phil",10209,"politics",10,"#DD1367","Disruptive Innovation - Critical approaches to social and cultural changes stemming from disruptive innovations in the arts, science, technology, communications, new media, politics and business. Open only to Arts, Technology and the Business of Innovation students.","disruptive innovation   critical approaches to social and cultural changes stemming from disruptive innovations in the arts  science  technology  communications  new media  politics and business  open only to arts  technology and the business of innovation students ","ACAD",1,"AY24","undergrad lower division",0,"F20, SP21, F21, SP22, F22, SP23, F23","technology,innovation,cultural,politics,business,innovations","8,9,10,16","SDG-Related",1
"ACAD-181","Disruptive Innovation",32,"C","Social Analysis","C - Social Analysis","F23",31,"Jimmy Iovine and Andre Young Academy","More, Phil",10209,"technology",9,"#FD6925","Disruptive Innovation - Critical approaches to social and cultural changes stemming from disruptive innovations in the arts, science, technology, communications, new media, politics and business. Open only to Arts, Technology and the Business of Innovation students.","disruptive innovation   critical approaches to social and cultural changes stemming from disruptive innovations in the arts  science  technology  communications  new media  politics and business  open only to arts  technology and the business of innovation students ","ACAD",1,"AY24","undergrad lower division",0,"F20, SP21, F21, SP22, F22, SP23, F23","technology,innovation,cultural,politics,business,innovations","8,9,10,16","SDG-Related",2
"ACAD-181","Disruptive Innovation",32,"C","Social Analysis","C - Social Analysis","F23",31,"Jimmy Iovine and Andre Young Academy","More, Phil",10209,"innovations",9,"#FD6925","Disruptive Innovation - Critical approaches to social and cultural changes stemming from disruptive innovations in the arts, science, technology, communications, new media, politics and business. Open only to Arts, Technology and the Business of Innovation students.","disruptive innovation   critical approaches to social and cultural changes stemming from disruptive innovations in the arts  science  technology  communications  new media  politics and business  open only to arts  technology and the business of innovation students ","ACAD",1,"AY24","undergrad lower division",0,"F20, SP21, F21, SP22, F22, SP23, F23","technology,innovation,cultural,politics,business,innovations","8,9,10,16","SDG-Related",1
"ACAD-181","Disruptive Innovation",32,"C","Social Analysis","C - Social Analysis","F23",31,"Jimmy Iovine and Andre Young Academy","More, Phil",10209,"politics",16,"#00689D","Disruptive Innovation - Critical approaches to social and cultural changes stemming from disruptive innovations in the arts, science, technology, communications, new media, politics and business. Open only to Arts, Technology and the Business of Innovation students.","disruptive innovation   critical approaches to social and cultural changes stemming from disruptive innovations in the arts  science  technology  communications  new media  politics and business  open only to arts  technology and the business of innovation students ","ACAD",1,"AY24","undergrad lower division",0,"F20, SP21, F21, SP22, F22, SP23, F23","technology,innovation,cultural,politics,business,innovations","8,9,10,16","SDG-Related",1
"ACAD-181","Disruptive Innovation",32,"C","Social Analysis","C - Social Analysis","F23",31,"Jimmy Iovine and Andre Young Academy","More, Phil",10209,"innovation",9,"#FD6925","Disruptive Innovation - Critical approaches to social and cultural changes stemming from disruptive innovations in the arts, science, technology, communications, new media, politics and business. Open only to Arts, Technology and the Business of Innovation students.","disruptive innovation   critical approaches to social and cultural changes stemming from disruptive innovations in the arts  science  technology  communications  new media  politics and business  open only to arts  technology and the business of innovation students ","ACAD",1,"AY24","undergrad lower division",0,"F20, SP21, F21, SP22, F22, SP23, F23","technology,innovation,cultural,politics,business,innovations","8,9,10,16","SDG-Related",3
"ACAD-181","Disruptive Innovation",32,"C","Social Analysis","C - Social Analysis","F23",31,"Jimmy Iovine and Andre Young Academy","More, Phil",10209,"business",8,"#A21942","Disruptive Innovation - Critical approaches to social and cultural changes stemming from disruptive innovations in the arts, science, technology, communications, new media, politics and business. Open only to Arts, Technology and the Business of Innovation students.","disruptive innovation   critical approaches to social and cultural changes stemming from disruptive innovations in the arts  science  technology  communications  new media  politics and business  open only to arts  technology and the business of innovation students ","ACAD",1,"AY24","undergrad lower division",0,"F20, SP21, F21, SP22, F22, SP23, F23","technology,innovation,cultural,politics,business,innovations","8,9,10,16","SDG-Related",2
"ACAD-309","Dreams and Madness: The Art of Japan's Golden Age of Animation",30,"A","The Arts","A - The Arts","SP23",124,"Jimmy Iovine and Andre Young Academy","Thomas, Doug",10252,"politics",16,"#00689D","Dreams and Madness: The Art of Japan's Golden Age of Animation - An in-depth look at the art, politics, and cultural impact ofseveral Japanese filmmakers including Isao Takahata, Hayao Miyazaki, Satoshi Kon, Mamoru Hosoda and Makoto Shinkai.","dreams and madness  the art of japan s golden age of animation   an in depth look at the art  politics  and cultural impact ofseveral japanese filmmakers including isao takahata  hayao miyazaki  satoshi kon  mamoru hosoda and makoto shinkai ","ACAD",1,"AY23","undergrad upper division",9,"SP21, SP22, SP23","politics,cultural","10,16","SDG-Related",1
"ACAD-309","Dreams and Madness: The Art of Japan's Golden Age of Animation",30,"A","The Arts","A - The Arts","SP23",124,"Jimmy Iovine and Andre Young Academy","Thomas, Doug",10252,"politics",10,"#DD1367","Dreams and Madness: The Art of Japan's Golden Age of Animation - An in-depth look at the art, politics, and cultural impact ofseveral Japanese filmmakers including Isao Takahata, Hayao Miyazaki, Satoshi Kon, Mamoru Hosoda and Makoto Shinkai.","dreams and madness  the art of japan s golden age of animation   an in depth look at the art  politics  and cultural impact ofseveral japanese filmmakers including isao takahata  hayao miyazaki  satoshi kon  mamoru hosoda and makoto shinkai ","ACAD",1,"AY23","undergrad upper division",9,"SP21, SP22, SP23","politics,cultural","10,16","SDG-Related",1
"ACAD-309","Dreams and Madness: The Art of Japan's Golden Age of Animation",30,"A","The Arts","A - The Arts","SP23",124,"Jimmy Iovine and Andre Young Academy","Thomas, Doug",10252,"cultural",10,"#DD1367","Dreams and Madness: The Art of Japan's Golden Age of Animation - An in-depth look at the art, politics, and cultural impact ofseveral Japanese filmmakers including Isao Takahata, Hayao Miyazaki, Satoshi Kon, Mamoru Hosoda and Makoto Shinkai.","dreams and madness  the art of japan s golden age of animation   an in depth look at the art  politics  and cultural impact ofseveral japanese filmmakers including isao takahata  hayao miyazaki  satoshi kon  mamoru hosoda and makoto shinkai ","ACAD",1,"AY23","undergrad upper division",9,"SP21, SP22, SP23","politics,cultural","10,16","SDG-Related",1
