"course_title","all_goals","sustainability_classification"
"ACAD-174","8,9,17","Inclusive"
"ACAD-176","","Not Related"
"ACAD-177","8,9,17","Inclusive"
"ACAD-178","8,9,17","Inclusive"
"ACAD-180","9","Inclusive"
"ACAD-181","1,8,9,11,17","Inclusive"
"ACAD-182","8,9,17","Inclusive"
"ACAD-187","8,9,12,13,15,17","Focused"
"ACAD-188","8,9,17","Inclusive"
"ACAD-189","8,9,17","Inclusive"
"ACAD-207","9","Inclusive"
"ACAD-240","","Not Related"
"ACAD-245","9","Inclusive"
"ACAD-275","9","Inclusive"
"ACAD-276","9","Inclusive"
"ACAD-277","9","Inclusive"
"ACAD-280","9","Inclusive"
"ACAD-309","11","Inclusive"
"ACAD-324","8,9,11,17","Inclusive"
"ACAD-345","9","Inclusive"
"ACAD-360","9","Inclusive"
"ACAD-376","8,9,17","Inclusive"
"ACAD-377","8,9,17","Inclusive"
"ACAD-475A","9,17","Inclusive"
"ACAD-475B","9,17","Inclusive"
"ACAD-590","17","Inclusive"
"ACCT-370","8,10,17","Inclusive"
"ACCT-371","8,9,10","Inclusive"
"ACCT-372","17","Inclusive"
"ACCT-373","","Not Related"
"ACCT-374","9","Inclusive"
"ACCT-377","8,10,11","Inclusive"
"ACCT-380","","Not Related"
"ACCT-385","1,8","Inclusive"
"ACCT-410","8,10","Inclusive"
"ACCT-415","8,10,17","Inclusive"
"ACCT-416","8,10","Inclusive"
"ACCT-430","","Not Related"
"ACCT-462","8,10,12,15","Focused"
"ACCT-470","8,10","Inclusive"
"ACCT-473","8,10","Inclusive"
"ACCT-474","8","Inclusive"
"ACCT-493","17","Inclusive"
"ACCT-494","17","Inclusive"
"ACCT-509","8,10","Inclusive"
"ACCT-525","8","Inclusive"
"ACCT-526","1,8,9,10,11,16","Inclusive"
"ACCT-527","8,9,10","Inclusive"
"ACCT-528","10,17","Inclusive"
"ACCT-530","8","Inclusive"
"ACCT-532","8,10","Inclusive"
"ACCT-533","8","Inclusive"
"ACCT-537","8,10","Inclusive"
"ACCT-541","12,15","Focused"
"ACCT-546","8,10,17","Inclusive"
"ACCT-547","9","Inclusive"
"ACCT-548","9","Inclusive"
"ACCT-549","8,9,10,17","Inclusive"
"ACCT-550T","17","Inclusive"
"ACCT-551T","9","Inclusive"
"ACCT-557","8,10,16,17","Inclusive"
"ACCT-558","8,10","Inclusive"
"ACCT-559","8,9,10","Inclusive"
"ACCT-560T","8,9","Inclusive"
"ACCT-561T","","Not Related"
"ACCT-562","8,10,16","Inclusive"
"ACCT-563T","","Not Related"
"ACCT-568T","10","Inclusive"
"ACCT-569T","2,9","Inclusive"
"ACCT-570T","","Not Related"
"ACCT-571T","8,9","Inclusive"
"ACCT-572","8,10,17","Inclusive"
"ACCT-573T","16","Inclusive"
"ACCT-574","8,9,10","Inclusive"
"ACCT-578T","","Not Related"
"ACCT-580T","10","Inclusive"
"ACCT-581","8,10","Inclusive"
"ACCT-583","8,10","Inclusive"
"ACCT-584","11,15","Focused"
"ACCT-585","17","Inclusive"
"ACCT-587","","Not Related"
"ACCT-595","8","Inclusive"
"ACCT-605","8,10,17","Inclusive"
"ACCT-608","17","Inclusive"
"ACCT-611","17","Inclusive"
"ACCT-621","17","Inclusive"
"ACMD-501","8,11,17","Inclusive"
"ACMD-502","4","Inclusive"
"ACMD-503","4","Inclusive"
"ACMD-511","4","Inclusive"
"ACMD-514","","Not Related"
"ACMD-591","4,8,9,17","Inclusive"
"ACMD-592","8,9,17","Inclusive"
"ACMD-604","4,8,10","Inclusive"
"ACMD-605","4,8,17","Inclusive"
"ADNT-701","8,17","Inclusive"
"ADNT-702","","Not Related"
"ADNT-703A","17","Inclusive"
"ADNT-703B","17","Inclusive"
"ADNT-703C","17","Inclusive"
"ADNT-703D","17","Inclusive"
"ADNT-703E","17","Inclusive"
"ADNT-703F","17","Inclusive"
"ADNT-703H","17","Inclusive"
"ADNT-704A","8,17","Inclusive"
"ADNT-704B","8,17","Inclusive"
"ADNT-706","3,12,15,17","Focused"
"ADNT-707","5,8,17","Inclusive"
