"goal","keyword","pattern","color","weight"
1,"access to clothing","\b(\d*)access to clothing(\d*)\b","#E5243B",1
1,"access to housing","\b(\d*)access to housing(\d*)\b","#E5243B",1
1,"access to resources","\b(\d*)access to resources(\d*)\b","#E5243B",1
1,"access to shelter","\b(\d*)access to shelter(\d*)\b","#E5243B",1
1,"affluence","\b(\d*)affluence(\d*)\b","#E5243B",1
1,"affluent","\b(\d*)affluent(\d*)\b","#E5243B",1
1,"affordable housing","\b(\d*)affordable housing(\d*)\b","#E5243B",1
1,"american class structure","\b(\d*)american class structure(\d*)\b","#E5243B",1
1,"annuities","\b(\d*)annuities(\d*)\b","#E5243B",1
1,"annuity","\b(\d*)annuity(\d*)\b","#E5243B",1
1,"asset allocation","\b(\d*)asset allocation(\d*)\b","#E5243B",1
1,"bad credit","\b(\d*)bad credit(\d*)\b","#E5243B",1
1,"bankrupt","\b(\d*)bankrupt(\d*)\b","#E5243B",1
1,"bankruptcy","\b(\d*)bankruptcy(\d*)\b","#E5243B",1
1,"basic necessities","\b(\d*)basic necessities(\d*)\b","#E5243B",1
1,"beneficiaries","\b(\d*)beneficiaries(\d*)\b","#E5243B",1
1,"budget","\b(\d*)budget(\d*)\b","#E5243B",1
1,"budgeting","\b(\d*)budgeting(\d*)\b","#E5243B",1
1,"budgets","\b(\d*)budgets(\d*)\b","#E5243B",1
1,"build credit","\b(\d*)build credit(\d*)\b","#E5243B",1
1,"capitalism","\b(\d*)capitalism(\d*)\b","#E5243B",1
1,"charitable","\b(\d*)charitable(\d*)\b","#E5243B",1
1,"charities","\b(\d*)charities(\d*)\b","#E5243B",1
1,"charity","\b(\d*)charity(\d*)\b","#E5243B",1
1,"child support","\b(\d*)child support(\d*)\b","#E5243B",1
1,"childcare","\b(\d*)childcare(\d*)\b","#E5243B",1
1,"clothing access","\b(\d*)clothing access(\d*)\b","#E5243B",1
1,"covid-19 relief","\b(\d*)covid-19 relief(\d*)\b","#E5243B",1
1,"covid19 relief","\b(\d*)covid19 relief(\d*)\b","#E5243B",1
1,"credit score","\b(\d*)credit score(\d*)\b","#E5243B",1
1,"debt","\b(\d*)debt(\d*)\b","#E5243B",1
1,"debtor","\b(\d*)debtor(\d*)\b","#E5243B",1
1,"debtors","\b(\d*)debtors(\d*)\b","#E5243B",1
1,"debts","\b(\d*)debts(\d*)\b","#E5243B",1
1,"deprivation","\b(\d*)deprivation(\d*)\b","#E5243B",1
1,"destitute","\b(\d*)destitute(\d*)\b","#E5243B",1
1,"destitution","\b(\d*)destitution(\d*)\b","#E5243B",1
1,"developing countries","\b(\d*)developing countries(\d*)\b","#E5243B",1
1,"development","\b(\d*)development(\d*)\b","#E5243B",1
1,"disability benefits","\b(\d*)disability benefits(\d*)\b","#E5243B",1
1,"disadvantaged","\b(\d*)disadvantaged(\d*)\b","#E5243B",1
1,"discrimination","\b(\d*)discrimination(\d*)\b","#E5243B",1
1,"disparities","\b(\d*)disparities(\d*)\b","#E5243B",1
